facet_id,source_tet10_element_tag,source_local_face,classification,node_tags_json,node_xyz_json,per_node_exact_trimmed_face_tags_json,union_exact_trimmed_face_tags_json,common_exact_trimmed_face_tags_json,warning
22952,1201285,2,UNMAPPED,"[383508,17307,382208,388841,388842,388840]","[[40.30648076783318,8.005,-19.024961181439092],[40.20762024413595,8.005,-19.2],[40.10652352640351,8.005,-19.034547870017192],[40.257050505984566,8.005,-19.112480590719546],[40.15707188526973,8.005,-19.117273935008594],[40.20650214711834,8.005,-19.02975452572814]]","[[117],[35,81],[117],[117],[117],[117]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22954,1175677,0,UNMAPPED,"[17308,382186,17309,388522,388988,17349]","[[40.40946462925684,8.005,-19.2],[40.511280611497,8.005,-19.024969197565607],[40.612922650042584,8.005,-19.2],[40.460372620376916,8.005,-19.112484598782803],[40.56210163076979,8.005,-19.112484598782803],[40.51119363964971,8.005,-19.2]]","[[35,81],[117],[35,81],[81],[81],[35,81]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22956,1157193,2,UNMAPPED,"[383508,382186,17308,388438,388522,388521]","[[40.30648076783318,8.005,-19.024961181439092],[40.511280611497,8.005,-19.024969197565607],[40.40946462925684,8.005,-19.2],[40.40888068966509,8.005,-19.02496518950235],[40.460372620376916,8.005,-19.112484598782803],[40.35797269854501,8.005,-19.112480590719546]]","[[117],[117],[35,81],[117],[81],[117]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22960,1209293,3,UNMAPPED,"[382186,383483,17309,388769,388766,388988]","[[40.511280611497,8.005,-19.024969197565607],[40.713684156390286,8.005,-19.025269830516716],[40.612922650042584,8.005,-19.2],[40.61248238394364,8.005,-19.02511951404116],[40.66330340321643,8.005,-19.112634915258358],[40.56210163076979,8.005,-19.112484598782803]]","[[117],[81],[35,81],[117],[81],[81]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23090,1133513,0,UNMAPPED,"[382183,17343,17342,388623,17383,388986]","[[47.475350709694666,8.005,-19.027787986396007],[47.59053537074315,8.005,-19.2],[47.387077349957416,8.005,-19.2],[47.53294304021891,8.005,-19.113893993198],[47.48880636035028,8.005,-19.2],[47.43121402982604,8.005,-19.113893993198]]","[[125],[35,81],[35,81],[81],[35,81],[81]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23092,1140837,1,UNMAPPED,"[382183,17342,384038,388986,390785,386532]","[[47.475350709694666,8.005,-19.027787986396007],[47.387077349957416,8.005,-19.2],[47.28541803549017,8.005,-19.088281373838303],[47.43121402982604,8.005,-19.113893993198],[47.336247692723795,8.005,-19.14414068691915],[47.38038437259242,8.005,-19.058034680117153]]","[[125],[35,81],[81],[81],[81],[81]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23094,1173975,3,UNMAPPED,"[17344,17343,383510,17384,388622,389031]","[[47.79237975586403,8.005,-19.2],[47.59053537074315,8.005,-19.2],[47.71320248630116,8.005,-19.033926951637444],[47.691457563303594,8.005,-19.2],[47.65186892852215,8.005,-19.11696347581872],[47.752791121082595,8.005,-19.11696347581872]]","[[35,81],[35,81],[125],[35,81],[125],[125]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23096,1193639,3,UNMAPPED,"[383510,17343,382183,388622,388623,388621]","[[47.71320248630116,8.005,-19.033926951637444],[47.59053537074315,8.005,-19.2],[47.475350709694666,8.005,-19.027787986396007],[47.65186892852215,8.005,-19.11696347581872],[47.53294304021891,8.005,-19.113893993198],[47.594276597997904,8.005,-19.030857469016723]]","[[125],[35,81],[125],[125],[81],[125]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23098,1225517,0,UNMAPPED,"[17344,382206,17345,388938,388939,17385]","[[47.79237975586403,8.005,-19.2],[47.91734650250223,8.005,-19.042866548420854],[47.996135490209426,8.005,-19.2],[47.85486312918313,8.005,-19.12143327421043],[47.956740996355826,8.005,-19.12143327421043],[47.89425762303673,8.005,-19.2]]","[[35,81],[125],[35,81],[125],[125],[35,81]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23100,1126245,1,UNMAPPED,"[17344,383510,382206,389031,388607,388938]","[[47.79237975586403,8.005,-19.2],[47.71320248630116,8.005,-19.033926951637444],[47.91734650250223,8.005,-19.042866548420854],[47.752791121082595,8.005,-19.11696347581872],[47.81527449440169,8.005,-19.03839675002915],[47.85486312918313,8.005,-19.12143327421043]]","[[35,81],[125],[125],[125],[125],[125]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23102,1227302,0,UNMAPPED,"[382206,383848,17345,388653,390616,388939]","[[47.91734650250223,8.005,-19.042866548420854],[48.09076403665209,8.005,-19.077255604218067],[47.996135490209426,8.005,-19.2],[48.00405526957716,8.005,-19.06006107631946],[48.04344976343076,8.005,-19.13862780210903],[47.956740996355826,8.005,-19.12143327421043]]","[[125],[125],[35,81],[125],[125],[125]]","[35,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23239,1178034,0,UNMAPPED,"[382302,17464,17465,387874,17627,387211]","[[38.02012172069324,8.005,-16.873485422744764],[37.8,8.005,-16.965392638606684],[37.8,8.005,-16.733116711471013],[37.91006086034662,8.005,-16.919439030675726],[37.8,8.005,-16.849254675038846],[37.91006086034662,8.005,-16.80330106710789]]","[[118],[29,75],[29,75],[118],[29,75],[118]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23241,1168941,1,UNMAPPED,"[382302,383278,17464,388563,387236,387874]","[[38.02012172069324,8.005,-16.873485422744764],[37.96692278343314,8.005,-17.100461575545708],[37.8,8.005,-16.965392638606684],[37.993522252063194,8.005,-16.986973499145236],[37.88346139171657,8.005,-17.032927107076194],[37.91006086034662,8.005,-16.919439030675726]]","[[118],[118],[29,75],[118],[118],[118]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23243,1155987,1,UNMAPPED,"[17466,383149,17465,386859,387210,17628]","[[37.8,8.005,-16.517845190568117],[37.99897984079995,8.005,-16.624841525707858],[37.8,8.005,-16.733116711471013],[37.89948992039997,8.005,-16.571343358137987],[37.89948992039997,8.005,-16.678979118589435],[37.8,8.005,-16.625480951019565]]","[[29,75],[118],[29,75],[75],[118],[29,75]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23245,1207063,3,UNMAPPED,"[382302,17465,383149,387211,387210,386256]","[[38.02012172069324,8.005,-16.873485422744764],[37.8,8.005,-16.733116711471013],[37.99897984079995,8.005,-16.624841525707858],[37.91006086034662,8.005,-16.80330106710789],[37.89948992039997,8.005,-16.678979118589435],[38.00955078074659,8.005,-16.74916347422631]]","[[118],[29,75],[118],[118],[118],[118]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23248,1148176,2,UNMAPPED,"[382210,17466,17467,386394,17629,386393]","[[37.987144503966206,8.005,-16.40758108370243],[37.8,8.005,-16.517845190568117],[37.8,8.005,-16.283972364383136],[37.8935722519831,8.005,-16.462713137135275],[37.8,8.005,-16.400908777475628],[37.8935722519831,8.005,-16.345776724042782]]","[[118],[29,75],[29,75],[75],[29,75],[75]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23250,1172028,0,UNMAPPED,"[382210,383149,17466,386858,386859,386394]","[[37.987144503966206,8.005,-16.40758108370243],[37.99897984079995,8.005,-16.624841525707858],[37.8,8.005,-16.517845190568117],[37.99306217238308,8.005,-16.516211304705145],[37.89948992039997,8.005,-16.571343358137987],[37.8935722519831,8.005,-16.462713137135275]]","[[118],[118],[29,75],[118],[75],[75]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23254,1148182,1,UNMAPPED,"[382210,17467,383027,386393,387768,387909]","[[37.987144503966206,8.005,-16.40758108370243],[37.8,8.005,-16.283972364383136],[37.98236483874698,8.005,-16.201325735974827],[37.8935722519831,8.005,-16.345776724042782],[37.89118241937349,8.005,-16.242649050178983],[37.98475467135659,8.005,-16.30445340983863]]","[[118],[29,75],[75],[75],[75],[75]]","[29,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23878,1134990,3,UNMAPPED,"[17622,17623,382201,17785,386330,386331]","[[37.8,8.005,18.283972367254567],[37.8,8.005,18.517845193125336],[37.98329700470762,8.005,18.403308366375104],[37.8,8.005,18.400908780189955],[37.89164850235381,8.005,18.460576779750216],[37.89164850235381,8.005,18.343640366814835]]","[[29,75],[29,75],[120],[29,75],[75],[75]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23880,1156809,2,UNMAPPED,"[17622,382201,383590,386331,386651,387125]","[[37.8,8.005,18.283972367254567],[37.98329700470762,8.005,18.403308366375104],[37.978860720872845,8.005,18.18792669638668],[37.89164850235381,8.005,18.343640366814835],[37.981078862790234,8.005,18.295617531380888],[37.88943036043642,8.005,18.235949531820626]]","[[29,75],[120],[75],[75],[75],[75]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23882,1140618,1,UNMAPPED,"[17624,382920,17623,388763,387139,17786]","[[37.8,8.005,18.73311671145918],[37.9848076136892,8.005,18.62081832147444],[37.8,8.005,18.517845193125336],[37.8924038068446,8.005,18.676967516466807],[37.8924038068446,8.005,18.56933175729989],[37.8,8.005,18.62548095229226]]","[[29,75],[120],[29,75],[120],[75],[29,75]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23884,1182616,3,UNMAPPED,"[382201,17623,382920,386330,387139,386984]","[[37.98329700470762,8.005,18.403308366375104],[37.8,8.005,18.517845193125336],[37.9848076136892,8.005,18.62081832147444],[37.89164850235381,8.005,18.460576779750216],[37.8924038068446,8.005,18.56933175729989],[37.98405230919841,8.005,18.51206334392477]]","[[120],[29,75],[120],[75],[75],[120]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23886,1237429,3,UNMAPPED,"[17624,17625,383031,17787,387527,388929]","[[37.8,8.005,18.73311671145918],[37.8,8.005,18.965392638591222],[37.98625082289844,8.005,18.84156605555383],[37.8,8.005,18.849254675025197],[37.89312541144922,8.005,18.903479347072523],[37.89312541144922,8.005,18.787341383506504]]","[[29,75],[29,75],[120],[29,75],[120],[120]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23888,1146172,1,UNMAPPED,"[17624,383031,382920,388929,388634,388763]","[[37.8,8.005,18.73311671145918],[37.98625082289844,8.005,18.84156605555383],[37.9848076136892,8.005,18.62081832147444],[37.89312541144922,8.005,18.787341383506504],[37.98552921829382,8.005,18.731192188514132],[37.8924038068446,8.005,18.676967516466807]]","[[29,75],[120],[120],[120],[120],[120]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23891,1125973,2,UNMAPPED,"[383031,17625,382204,387527,386921,385646]","[[37.98625082289844,8.005,18.84156605555383],[37.8,8.005,18.965392638591222],[37.998637712210815,8.005,19.06263973980894],[37.89312541144922,8.005,18.903479347072523],[37.8993188561054,8.005,19.01401618920008],[37.992444267554625,8.005,18.95210289768139]]","[[120],[29,75],[120],[120],[120],[120]]","[29,75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23952,1196080,1,UNMAPPED,"[17820,17821,382209,17861,388942,388943]","[[40.00386450979057,8.005,21.2],[40.20762024413596,8.005,21.2],[40.10840810367703,8.005,21.035670284629784],[40.10574237696326,8.005,21.2],[40.158014173906494,8.005,21.117835142314892],[40.0561363067338,8.005,21.117835142314892]]","[[31,77],[31,77],[121],[31,77],[121],[121]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23954,1196073,1,UNMAPPED,"[383638,17820,382209,388363,388943,390255]","[[39.906340010289526,8.005,21.03881327402505],[40.00386450979057,8.005,21.2],[40.10840810367703,8.005,21.035670284629784],[39.95510226004005,8.005,21.11940663701252],[40.0561363067338,8.005,21.117835142314892],[40.00737405698328,8.005,21.03724177932742]]","[[121],[31,77],[121],[121],[121],[121]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23956,1114691,2,UNMAPPED,"[383512,17821,17822,389033,17862,388625]","[[40.3151780407504,8.005,21.04511766407123],[40.20762024413596,8.005,21.2],[40.40946462925684,8.005,21.2],[40.26139914244318,8.005,21.12255883203561],[40.3085424366964,8.005,21.2],[40.36232133500362,8.005,21.12255883203561]]","[[121],[31,77],[31,77],[121],[31,77],[77]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23958,1225355,3,UNMAPPED,"[383512,382209,17821,389034,388942,389033]","[[40.3151780407504,8.005,21.04511766407123],[40.10840810367703,8.005,21.035670284629784],[40.20762024413596,8.005,21.2],[40.211793072213716,8.005,21.04039397435051],[40.158014173906494,8.005,21.117835142314892],[40.26139914244318,8.005,21.12255883203561]]","[[121],[121],[31,77],[121],[121],[121]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23960,1206163,3,UNMAPPED,"[17823,382185,17822,388989,388626,17863]","[[40.612922650042584,8.005,21.2],[40.519264201000475,8.005,21.052705456106185],[40.40946462925684,8.005,21.2],[40.56609342552153,8.005,21.126352728053096],[40.46436441512866,8.005,21.126352728053096],[40.51119363964971,8.005,21.2]]","[[31,77],[121],[31,77],[77],[77],[31,77]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23962,1206184,3,UNMAPPED,"[17822,382185,383512,388626,388624,388625]","[[40.40946462925684,8.005,21.2],[40.519264201000475,8.005,21.052705456106185],[40.3151780407504,8.005,21.04511766407123],[40.46436441512866,8.005,21.126352728053096],[40.41722112087544,8.005,21.04891156008871],[40.36232133500362,8.005,21.12255883203561]]","[[31,77],[121],[121],[77],[121],[77]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23966,1232525,3,UNMAPPED,"[383917,382185,17823,390669,388989,390668]","[[40.719965493317495,8.005,21.055507547575775],[40.519264201000475,8.005,21.052705456106185],[40.612922650042584,8.005,21.2],[40.619614847158985,8.005,21.05410650184098],[40.56609342552153,8.005,21.126352728053096],[40.66644407168004,8.005,21.12775377378789]]","[[77],[121],[31,77],[77],[77],[77]]","[31,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24097,1244348,2,UNMAPPED,"[382184,17856,17857,388987,17897,388620]","[[47.475350709695164,8.005,21.027787986396778],[47.387077349957416,8.005,21.2],[47.59053537074315,8.005,21.2],[47.43121402982629,8.005,21.113893993198392],[47.48880636035028,8.005,21.2],[47.53294304021916,8.005,21.113893993198392]]","[[122],[31,77],[31,77],[77],[31,77],[77]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24099,1186612,2,UNMAPPED,"[17856,382184,384039,388987,386536,390786]","[[47.387077349957416,8.005,21.2],[47.475350709695164,8.005,21.027787986396778],[47.28541803549015,8.005,21.08828137383991],[47.43121402982629,8.005,21.113893993198392],[47.38038437259266,8.005,21.058034680118343],[47.33624769272379,8.005,21.144140686919958]]","[[31,77],[122],[77],[77],[77],[77]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24101,1225623,1,UNMAPPED,"[17858,383511,17857,389032,388618,17898]","[[47.79237975586403,8.005,21.2],[47.71241346224864,8.005,21.031671916819807],[47.59053537074315,8.005,21.2],[47.75239660905633,8.005,21.115835958409907],[47.651474416495894,8.005,21.115835958409907],[47.69145756330359,8.005,21.2]]","[[31,77],[122],[31,77],[122],[122],[31,77]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24103,1111928,1,UNMAPPED,"[382184,17857,383511,388620,388618,388619]","[[47.475350709695164,8.005,21.027787986396778],[47.59053537074315,8.005,21.2],[47.71241346224864,8.005,21.031671916819807],[47.53294304021916,8.005,21.113893993198392],[47.651474416495894,8.005,21.115835958409907],[47.593882085971906,8.005,21.029729951608292]]","[[122],[31,77],[122],[77],[122],[122]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24105,1116972,3,UNMAPPED,"[17859,382207,17858,388655,388940,17899]","[[47.996135490209426,8.005,21.2],[47.91261235818537,8.005,21.029336339513744],[47.79237975586403,8.005,21.2],[47.9543739241974,8.005,21.11466816975687],[47.852496057024695,8.005,21.11466816975687],[47.89425762303673,8.005,21.2]]","[[31,77],[122],[31,77],[122],[122],[31,77]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24107,1116944,0,UNMAPPED,"[17858,382207,383511,388940,388610,389032]","[[47.79237975586403,8.005,21.2],[47.91261235818537,8.005,21.029336339513744],[47.71241346224864,8.005,21.031671916819807],[47.852496057024695,8.005,21.11466816975687],[47.81251291021701,8.005,21.030504128166772],[47.75239660905633,8.005,21.115835958409907]]","[[31,77],[122],[122],[122],[122],[122]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24109,1227322,1,UNMAPPED,"[383328,382207,17859,387814,388655,388296]","[[48.117581833687034,8.005,21.03666562181365],[47.91261235818537,8.005,21.029336339513744],[47.996135490209426,8.005,21.2],[48.0150970959362,8.005,21.033000980663697],[47.9543739241974,8.005,21.11466816975687],[48.05685866194823,8.005,21.118332810906825]]","[[122],[122],[31,77],[122],[122],[122]]","[31,77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24169,1221691,3,UNMAPPED,"[17933,17932,383101,18095,387598,389040]","[[50.2,8.005,-16.733116711471013],[50.2,8.005,-16.965392638606684],[50.01337249438256,8.005,-16.840975276196154],[50.2,8.005,-16.849254675038846],[50.10668624719128,8.005,-16.90318395740142],[50.10668624719128,8.005,-16.787045993833583]]","[[33,79],[33,79],[124],[33,79],[124],[124]]","[33,79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24171,1159701,0,UNMAPPED,"[383101,17932,382205,387598,386925,385815]","[[50.01337249438256,8.005,-16.840975276196154],[50.2,8.005,-16.965392638606684],[50.011720565951286,8.005,-17.06901568243072],[50.10668624719128,8.005,-16.90318395740142],[50.10586028297564,8.005,-17.017204160518702],[50.01254653016692,8.005,-16.95499547931344]]","[[124],[33,79],[124],[124],[124],[124]]","[33,79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24173,1142377,3,UNMAPPED,"[382958,17934,17933,387256,18096,388861]","[[50.01454840462732,8.005,-16.62200948699502],[50.2,8.005,-16.517845190568117],[50.2,8.005,-16.733116711471013],[50.10727420231366,8.005,-16.569927338781568],[50.2,8.005,-16.625480951019565],[50.10727420231366,8.005,-16.677563099233016]]","[[124],[33,79],[33,79],[79],[33,79],[124]]","[33,79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24175,1182635,2,UNMAPPED,"[382958,17933,383101,388861,389040,388832]","[[50.01454840462732,8.005,-16.62200948699502],[50.2,8.005,-16.733116711471013],[50.01337249438256,8.005,-16.840975276196154],[50.10727420231366,8.005,-16.677563099233016],[50.10668624719128,8.005,-16.787045993833583],[50.013960449504935,8.005,-16.731492381595586]]","[[124],[33,79],[124],[124],[124],[124]]","[33,79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
