core_id,axis_id,from_connector_contact,to_connector_contact,net,service,route,conductor_cross_section,insulation_temperature_flex,shield_or_twist,cut_length_and_slack,authority
CORE-R_HIP_ROLL-GND-DYNAMIC,R_HIP_ROLL,J-WPS-RS-RLEG-OUT-2/1,J-TR-DYN-R_HIP_ROLL/1,RS-RLEG_RET,POWER RETURN,CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR; LOOP-R_HIP_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 193.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_ROLL-VDD-PIGTAIL,R_HIP_ROLL,J-TR-PIG-R_HIP_ROLL/2,J-ACT-R_HIP_ROLL/2,R_HIP_ROLL_VDD,ACTUATOR POWER,LOOP-R_HIP_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_ROLL-VDD-DYNAMIC,R_HIP_ROLL,J-WPS-RS-RLEG-OUT-2/2,J-TR-DYN-R_HIP_ROLL/2,R_HIP_ROLL_VDD,ACTUATOR POWER,CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR; LOOP-R_HIP_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 193.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_ROLL-DATAP,R_HIP_ROLL,J-OUT-R_HIP_YAW/DATA+,J-ACT-R_HIP_ROLL/3,RS-RLEG_DATA+,DATA,LOOP-R_HIP_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_ROLL-DATAN,R_HIP_ROLL,J-OUT-R_HIP_YAW/DATA-,J-ACT-R_HIP_ROLL/4,RS-RLEG_DATA-,DATA,LOOP-R_HIP_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-GND-PIGTAIL,R_HIP_PITCH,J-TR-PIG-R_HIP_PITCH/1,J-ACT-R_HIP_PITCH/1,RS-RLEG_RET,POWER RETURN,LOOP-R_HIP_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-GND-DYNAMIC,R_HIP_PITCH,J-WPS-RS-RLEG-OUT-3/1,J-TR-DYN-R_HIP_PITCH/1,RS-RLEG_RET,POWER RETURN,CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR; LOOP-R_HIP_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 241.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-VDD-PIGTAIL,R_HIP_PITCH,J-TR-PIG-R_HIP_PITCH/2,J-ACT-R_HIP_PITCH/2,R_HIP_PITCH_VDD,ACTUATOR POWER,LOOP-R_HIP_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-VDD-DYNAMIC,R_HIP_PITCH,J-WPS-RS-RLEG-OUT-3/2,J-TR-DYN-R_HIP_PITCH/2,R_HIP_PITCH_VDD,ACTUATOR POWER,CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR; LOOP-R_HIP_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 241.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-DATAP,R_HIP_PITCH,J-OUT-R_HIP_ROLL/DATA+,J-ACT-R_HIP_PITCH/3,RS-RLEG_DATA+,DATA,LOOP-R_HIP_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_PITCH-DATAN,R_HIP_PITCH,J-OUT-R_HIP_ROLL/DATA-,J-ACT-R_HIP_PITCH/4,RS-RLEG_DATA-,DATA,LOOP-R_HIP_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-GND-PIGTAIL,R_KNEE_PITCH,J-TR-PIG-R_KNEE_PITCH/1,J-ACT-R_KNEE_PITCH/1,RS-RLEG_RET,POWER RETURN,LOOP-R_KNEE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-GND-DYNAMIC,R_KNEE_PITCH,J-WPS-RS-RLEG-OUT-4/1,J-TR-DYN-R_KNEE_PITCH/1,RS-RLEG_RET,POWER RETURN,CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR; LOOP-R_KNEE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 429.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-VDD-PIGTAIL,R_KNEE_PITCH,J-TR-PIG-R_KNEE_PITCH/2,J-ACT-R_KNEE_PITCH/2,R_KNEE_PITCH_VDD,ACTUATOR POWER,LOOP-R_KNEE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-VDD-DYNAMIC,R_KNEE_PITCH,J-WPS-RS-RLEG-OUT-4/2,J-TR-DYN-R_KNEE_PITCH/2,R_KNEE_PITCH_VDD,ACTUATOR POWER,CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR; LOOP-R_KNEE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 429.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-DATAP,R_KNEE_PITCH,J-OUT-R_HIP_PITCH/DATA+,J-ACT-R_KNEE_PITCH/3,RS-RLEG_DATA+,DATA,LOOP-R_KNEE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 180.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_KNEE_PITCH-DATAN,R_KNEE_PITCH,J-OUT-R_HIP_PITCH/DATA-,J-ACT-R_KNEE_PITCH/4,RS-RLEG_DATA-,DATA,LOOP-R_KNEE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 180.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-GND-PIGTAIL,R_ANKLE_PITCH,J-TR-PIG-R_ANKLE_PITCH/1,J-ACT-R_ANKLE_PITCH/1,RS-RLEG_RET,POWER RETURN,LOOP-R_ANKLE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-GND-DYNAMIC,R_ANKLE_PITCH,J-WPS-RS-RLEG-OUT-5/1,J-TR-DYN-R_ANKLE_PITCH/1,RS-RLEG_RET,POWER RETURN,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR; LOOP-R_ANKLE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 612.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-VDD-PIGTAIL,R_ANKLE_PITCH,J-TR-PIG-R_ANKLE_PITCH/2,J-ACT-R_ANKLE_PITCH/2,R_ANKLE_PITCH_VDD,ACTUATOR POWER,LOOP-R_ANKLE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-VDD-DYNAMIC,R_ANKLE_PITCH,J-WPS-RS-RLEG-OUT-5/2,J-TR-DYN-R_ANKLE_PITCH/2,R_ANKLE_PITCH_VDD,ACTUATOR POWER,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR; LOOP-R_ANKLE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 612.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-DATAP,R_ANKLE_PITCH,J-OUT-R_KNEE_PITCH/DATA+,J-ACT-R_ANKLE_PITCH/3,RS-RLEG_DATA+,DATA,LOOP-R_ANKLE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 175.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_PITCH-DATAN,R_ANKLE_PITCH,J-OUT-R_KNEE_PITCH/DATA-,J-ACT-R_ANKLE_PITCH/4,RS-RLEG_DATA-,DATA,LOOP-R_ANKLE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 175.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-GND-PIGTAIL,R_ANKLE_ROLL,J-TR-PIG-R_ANKLE_ROLL/1,J-ACT-R_ANKLE_ROLL/1,RS-RLEG_RET,POWER RETURN,LOOP-R_ANKLE_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-GND-DYNAMIC,R_ANKLE_ROLL,J-WPS-RS-RLEG-OUT-6/1,J-TR-DYN-R_ANKLE_ROLL/1,RS-RLEG_RET,POWER RETURN,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR; LOOP-R_ANKLE_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 660.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-VDD-PIGTAIL,R_ANKLE_ROLL,J-TR-PIG-R_ANKLE_ROLL/2,J-ACT-R_ANKLE_ROLL/2,R_ANKLE_ROLL_VDD,ACTUATOR POWER,LOOP-R_ANKLE_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-VDD-DYNAMIC,R_ANKLE_ROLL,J-WPS-RS-RLEG-OUT-6/2,J-TR-DYN-R_ANKLE_ROLL/2,R_ANKLE_ROLL_VDD,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR; LOOP-R_ANKLE_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 660.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-DATAP,R_ANKLE_ROLL,J-OUT-R_ANKLE_PITCH/DATA+,J-ACT-R_ANKLE_ROLL/3,RS-RLEG_DATA+,DATA,LOOP-R_ANKLE_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_ANKLE_ROLL-DATAN,R_ANKLE_ROLL,J-OUT-R_ANKLE_PITCH/DATA-,J-ACT-R_ANKLE_ROLL/4,RS-RLEG_DATA-,DATA,LOOP-R_ANKLE_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-GND-PIGTAIL,L_SHOULDER_PITCH,J-TR-PIG-L_SHOULDER_PITCH/1,J-ACT-L_SHOULDER_PITCH/1,RS-LARM_RET,POWER RETURN,LOOP-L_SHOULDER_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-GND-DYNAMIC,L_SHOULDER_PITCH,J-WPS-RS-LARM-OUT-1/1,J-TR-DYN-L_SHOULDER_PITCH/1,RS-LARM_RET,POWER RETURN,LOOP-L_SHOULDER_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 114.724 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-VDD-PIGTAIL,L_SHOULDER_PITCH,J-TR-PIG-L_SHOULDER_PITCH/2,J-ACT-L_SHOULDER_PITCH/2,L_SHOULDER_PITCH_VDD,ACTUATOR POWER,LOOP-L_SHOULDER_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-VDD-DYNAMIC,L_SHOULDER_PITCH,J-WPS-RS-LARM-OUT-1/2,J-TR-DYN-L_SHOULDER_PITCH/2,L_SHOULDER_PITCH_VDD,ACTUATOR POWER,LOOP-L_SHOULDER_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 114.724 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-DATAP,L_SHOULDER_PITCH,CB-RS-LARM/DATA+,J-ACT-L_SHOULDER_PITCH/3,RS-LARM_DATA+,DATA,LOOP-L_SHOULDER_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 41.794 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_PITCH-DATAN,L_SHOULDER_PITCH,CB-RS-LARM/DATA-,J-ACT-L_SHOULDER_PITCH/4,RS-LARM_DATA-,DATA,LOOP-L_SHOULDER_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 41.794 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-GND-PIGTAIL,L_SHOULDER_ROLL,J-TR-PIG-L_SHOULDER_ROLL/1,J-ACT-L_SHOULDER_ROLL/1,RS-LARM_RET,POWER RETURN,LOOP-L_SHOULDER_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-GND-DYNAMIC,L_SHOULDER_ROLL,J-WPS-RS-LARM-OUT-2/1,J-TR-DYN-L_SHOULDER_ROLL/1,RS-LARM_RET,POWER RETURN,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR; LOOP-L_SHOULDER_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 142.724 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-VDD-PIGTAIL,L_SHOULDER_ROLL,J-TR-PIG-L_SHOULDER_ROLL/2,J-ACT-L_SHOULDER_ROLL/2,L_SHOULDER_ROLL_VDD,ACTUATOR POWER,LOOP-L_SHOULDER_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-VDD-DYNAMIC,L_SHOULDER_ROLL,J-WPS-RS-LARM-OUT-2/2,J-TR-DYN-L_SHOULDER_ROLL/2,L_SHOULDER_ROLL_VDD,ACTUATOR POWER,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR; LOOP-L_SHOULDER_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 142.724 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-DATAP,L_SHOULDER_ROLL,J-OUT-L_SHOULDER_PITCH/DATA+,J-ACT-L_SHOULDER_ROLL/3,RS-LARM_DATA+,DATA,LOOP-L_SHOULDER_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 20.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_SHOULDER_ROLL-DATAN,L_SHOULDER_ROLL,J-OUT-L_SHOULDER_PITCH/DATA-,J-ACT-L_SHOULDER_ROLL/4,RS-LARM_DATA-,DATA,LOOP-L_SHOULDER_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 20.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ELBOW_PITCH-GND-PIGTAIL,L_ELBOW_PITCH,J-TR-PIG-L_ELBOW_PITCH/1,J-ACT-L_ELBOW_PITCH/1,RS-LARM_RET,POWER RETURN,LOOP-L_ELBOW_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
