operation_id,assembly_step,parallel_group,module_id,operation_kind,title,instruction,required_input,completion_evidence,authority,warning
N01-OP06,5,A,N01,JOIN,Join to prerequisite module,"Join N01 only after prerequisite T01 is complete. Use datum HEAD_PAN @ (0, 0, 650) mm; upstream: T01 shoulder crossmember / pan module; downstream: H01 tilt cradle.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP01,6,A,H01,KIT,Inventory and identify,"Verify the 2 fabrication files, 0 axis allocations, 10 equipment items and 0 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP02,6,A,H01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the H01 fabrication STEP: H01_HEAD_FRONT_BEZEL; H01_HEAD_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP03,6,A,H01,JOINT,Install joint modules unpowered,"Install and manually articulate: NONE. The 0 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP04,6,A,H01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-H01-AUDIO-AMP; EQ-H01-CAMERA-L; EQ-H01-CAMERA-R; EQ-H01-DISPLAY; EQ-H01-FAN; EQ-H01-MIC-ARRAY; EQ-H01-SPEAKER-L; EQ-H01-SPEAKER-R; EQ-HN01_HEAD_BRANCH; EQ-HN01_HEAD_POWER_BRANCH. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP05,6,A,H01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: NONE. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-OP06,6,A,H01,JOIN,Join to prerequisite module,"Join H01 only after prerequisite N01 is complete. Use datum HEAD_TILT @ (0, 0, 690) mm; upstream: N01 tilt cradle at HEAD_TILT; downstream: Face screen, stereo vision, microphones and speakers.",module-kit-register.csv row H01; H01/H01_fabrication_candidate.step; H01/H01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP01,7,A,A01,KIT,Inventory and identify,"Verify the 8 fabrication files, 4 axis allocations, 3 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP02,7,A,A01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the A01 fabrication STEP: A01_FOREARM_FRONT_COVER; A01_FOREARM_LINK_FRONT; A01_FOREARM_LINK_REAR; A01_FOREARM_REAR_COVER; A01_UPPER_ARM_FRONT_COVER; A01_UPPER_ARM_LINK_FRONT; A01_UPPER_ARM_LINK_REAR; A01_UPPER_ARM_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP03,7,A,A01,JOINT,Install joint modules unpowered,"Install and manually articulate: L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL; L_WRIST_ROTATION. The 24 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP04,7,A,A01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-FST-LEFT-ARM; EQ-HN01_L_ARM_DATA; EQ-HN01_L_ARM_POWER. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP05,7,A,A01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-A01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-OP06,7,A,A01,JOIN,Join to prerequisite module,"Join A01 only after prerequisite T01 is complete. Use datum L_SHOULDER pair @ (105, 0, 590) mm; upstream: T01 left shoulder crossmember; downstream: G01 palm at L_WRIST_ROTATION.",module-kit-register.csv row A01; A01/A01_fabrication_candidate.step; A01/A01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP01,7,B,A02,KIT,Inventory and identify,"Verify the 8 fabrication files, 4 axis allocations, 3 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP02,7,B,A02,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the A02 fabrication STEP: A02_FOREARM_FRONT_COVER; A02_FOREARM_LINK_FRONT; A02_FOREARM_LINK_REAR; A02_FOREARM_REAR_COVER; A02_UPPER_ARM_FRONT_COVER; A02_UPPER_ARM_LINK_FRONT; A02_UPPER_ARM_LINK_REAR; A02_UPPER_ARM_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP03,7,B,A02,JOINT,Install joint modules unpowered,"Install and manually articulate: R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL; R_WRIST_ROTATION. The 24 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP04,7,B,A02,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-FST-RIGHT-ARM; EQ-HN01_R_ARM_DATA; EQ-HN01_R_ARM_POWER. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP05,7,B,A02,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-A02. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-OP06,7,B,A02,JOIN,Join to prerequisite module,"Join A02 only after prerequisite T01 is complete. Use datum R_SHOULDER pair @ (-105, 0, 590) mm; upstream: T01 right shoulder crossmember; downstream: G02 palm at R_WRIST_ROTATION.",module-kit-register.csv row A02; A02/A02_fabrication_candidate.step; A02/A02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP01,8,A,G01,KIT,Inventory and identify,"Verify the 1 fabrication files, 1 axis allocations, 2 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP02,8,A,G01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the G01 fabrication STEP: G01_PALM_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP03,8,A,G01,JOINT,Install joint modules unpowered,"Install and manually articulate: L_GRIPPER. The 4 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP04,8,A,G01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-G01-INBOARD-PAD; EQ-G01-OUTBOARD-PAD. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP05,8,A,G01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-G01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-OP06,8,A,G01,JOIN,Join to prerequisite module,"Join G01 only after prerequisite A01 is complete. Use datum L_GRIPPER @ (140, 0, 252) mm; upstream: A01 supported wrist shaft; downstream: Two broad fingers and replaceable compliant pad lands.",module-kit-register.csv row G01; G01/G01_fabrication_candidate.step; G01/G01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP01,8,B,G02,KIT,Inventory and identify,"Verify the 1 fabrication files, 1 axis allocations, 2 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP02,8,B,G02,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the G02 fabrication STEP: G02_PALM_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP03,8,B,G02,JOINT,Install joint modules unpowered,"Install and manually articulate: R_GRIPPER. The 4 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP04,8,B,G02,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-G02-INBOARD-PAD; EQ-G02-OUTBOARD-PAD. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP05,8,B,G02,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-G02. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-OP06,8,B,G02,JOIN,Join to prerequisite module,"Join G02 only after prerequisite A02 is complete. Use datum R_GRIPPER @ (-140, 0, 252) mm; upstream: A02 supported wrist shaft; downstream: Two broad fingers and replaceable compliant pad lands.",module-kit-register.csv row G02; G02/G02_fabrication_candidate.step; G02/G02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
