reference,field,expected_value,native_kicad_value,match,hidden,warning
RW1,ManufacturerPartNumber,CRCW12102K70FKEA,CRCW12102K70FKEA,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,AssemblyDescription,"2.70 kohm, 1%, 0.5 W, 1210","2.70 kohm, 1%, 0.5 W, 1210",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,Manufacturer,Vishay,Vishay,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,ManufacturerPartNumber,CRCW12102K70FKEA,CRCW12102K70FKEA,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,AssemblyDescription,"2.70 kohm, 1%, 0.5 W, 1210","2.70 kohm, 1%, 0.5 W, 1210",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,Manufacturer,Harwin,Harwin,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,ManufacturerPartNumber,S1751-46R,S1751-46R,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,AssemblyDescription,SMT test point,SMT test point,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,Manufacturer,Texas Instruments,Texas Instruments,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,ManufacturerPartNumber,TPL7407LPWR,TPL7407LPWR,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,AssemblyDescription,"seven-channel low-side driver, PW0016A","seven-channel low-side driver, PW0016A",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,Manufacturer,Texas Instruments,Texas Instruments,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,ManufacturerPartNumber,TPL7407LPWR,TPL7407LPWR,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,AssemblyDescription,"seven-channel low-side driver, PW0016A","seven-channel low-side driver, PW0016A",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,Manufacturer,Texas Instruments,Texas Instruments,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,ManufacturerPartNumber,ISO1212DBQ,ISO1212DBQ,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,AssemblyDescription,"dual isolated 24 V input receiver, DBQ0016A","dual isolated 24 V input receiver, DBQ0016A",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDCTRL1,Manufacturer,Raspberry Pi,Raspberry Pi,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDCTRL1,ManufacturerPartNumber,SC0915,SC0915,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDCTRL1,AssemblyDescription,Raspberry Pi Pico 1 / RP2040 module,Raspberry Pi Pico 1 / RP2040 module,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
