reference,terminal,function,net,state,warning
DAQ1,DB37-14,AIN9,CH5_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-13,AIN11,CH6_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-12,AIN13,CH7_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-6,FIO0 TRIGGER WITNESS,COMMON_TRIGGER_LOGIC_HELD,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-1,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5L,J3.2,OUTP,CH5_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5L,J3.1,OUTN,CH5_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6L,J3.2,OUTP,CH6_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6L,J3.1,OUTN,CH6_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7L,J3.2,OUTP,CH7_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7L,J3.1,OUTN,CH7_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQCFG1,A0,AIN8-9,CH5_OUTP,NO RUN CONFIGURATION RELEASED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQCFG1,A1,AIN10-11,CH6_OUTP,NO RUN CONFIGURATION RELEASED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQCFG1,A2,AIN12-13,CH7_OUTP,NO RUN CONFIGURATION RELEASED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQCFG1,D0,FIO_STATE,COMMON_TRIGGER_LOGIC_HELD,NO RUN CONFIGURATION RELEASED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
