channel_id,signal,point_ordinal,requested_source_v,within_channel_planning_range,repeat_count,source_current_limit_candidate_ma,reference_value,ni_raw_value,fit_use,performance_acceptance_limit,state,warning
CH-AI-06,HARDWIRED_PERMIT_24V,8,24.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,6,12.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,7,18.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,8,24.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,K1_COIL_24V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,6,12.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,7,18.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,8,24.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-08,K2_COIL_24V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
