feature_id,article,source_face_index_1_based,geometry_type,nominal_point_joint_xyz_mm,nominal_axis_or_normal_joint_xyz,nominal_radius_mm,nominal_area_mm2,geometric_signature,measurement_role,hsi_route,method_route,status,warning
H101-FLANGE-PATTERN-24,H101,257,CYLINDER,"11.000000,-20.552500,-6.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=11.000000,-20.552500,-6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-25,H101,142,CYLINDER,"11.000000,32.000000,0.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=11.000000,32.000000,0.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-26,H101,200,CYLINDER,"11.000000,32.000000,6.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=11.000000,32.000000,6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-27,H101,218,CYLINDER,"16.000000,32.000000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=16.000000,32.000000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-28,H101,222,CYLINDER,"16.000000,32.000000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=16.000000,32.000000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-01,S102,161,CYLINDER,"-16.000000,-36.485000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-16.000000,-36.485000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-02,S102,157,CYLINDER,"-16.000000,-36.485000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-16.000000,-36.485000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-03,S102,151,CYLINDER,"-11.000000,-36.485000,-6.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-11.000000,-36.485000,-6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-04,S102,47,CYLINDER,"-11.000000,-51.500000,0.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-11.000000,-51.500000,0.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-05,S102,101,CYLINDER,"-11.000000,-51.500000,6.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-11.000000,-51.500000,6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-06,S102,77,CYLINDER,"-8.000000,-51.500000,-3.500000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-8.000000,-51.500000,-3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-07,S102,141,CYLINDER,"-8.000000,-36.485000,3.500000","0.000000,1.000000,0.000000",1.250000000,7.657632093,"CYLINDER|A=7.657632093|P=-8.000000,-36.485000,3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-08,S102,49,CYLINDER,"-7.778175,-51.500000,-7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-7.778175,-51.500000,-7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-09,S102,45,CYLINDER,"-7.778175,-51.500000,7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-7.778175,-51.500000,7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-10,S102,103,CYLINDER,"-6.000000,-51.500000,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-6.000000,-51.500000,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-11,S102,149,CYLINDER,"-6.000000,-36.485000,11.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-6.000000,-36.485000,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-12,S102,143,CYLINDER,"-3.500000,-36.485000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.657632093,"CYLINDER|A=7.657632093|P=-3.500000,-36.485000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-13,S102,75,CYLINDER,"-3.500000,-51.500000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-3.500000,-51.500000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-14,S102,51,CYLINDER,"0.000000,-51.500000,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=0.000000,-51.500000,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-15,S102,43,CYLINDER,"0.000000,-51.500000,11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=0.000000,-51.500000,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-16,S102,79,CYLINDER,"3.500000,-51.500000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=3.500000,-51.500000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-17,S102,139,CYLINDER,"3.500000,-36.485000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.657632093,"CYLINDER|A=7.657632093|P=3.500000,-36.485000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-18,S102,153,CYLINDER,"6.000000,-36.485000,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=6.000000,-36.485000,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-19,S102,99,CYLINDER,"6.000000,-51.500000,11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=6.000000,-51.500000,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-20,S102,53,CYLINDER,"7.778175,-51.500000,-7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=7.778175,-51.500000,-7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-21,S102,57,CYLINDER,"7.778175,-51.500000,7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=7.778175,-51.500000,7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-22,S102,145,CYLINDER,"8.000000,-36.485000,-3.500000","0.000000,1.000000,0.000000",1.250000000,7.657632093,"CYLINDER|A=7.657632093|P=8.000000,-36.485000,-3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-23,S102,81,CYLINDER,"8.000000,-51.500000,3.500000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=8.000000,-51.500000,3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-24,S102,105,CYLINDER,"11.000000,-51.500000,-6.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=11.000000,-51.500000,-6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-25,S102,55,CYLINDER,"11.000000,-51.500000,0.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=11.000000,-51.500000,0.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-26,S102,147,CYLINDER,"11.000000,-36.485000,6.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=11.000000,-36.485000,6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-27,S102,159,CYLINDER,"16.000000,-36.485000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=16.000000,-36.485000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S102-FLANGE-PATTERN-28,S102,155,CYLINDER,"16.000000,-36.485000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=16.000000,-36.485000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",fixed-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-009/011,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
