item_id,closure_class,order_code_state,quantity_state,primary_source_state,application_state,allowed_action,closure_basis
BOM-078,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,HR-V0-GUARD-RET-P0.1 excludes the drill-through 20-2496 route and records 12004 only as an exact continuous-gasket evaluation candidate for nominal 3 mm outer panels; impact energy retention allowable final sheet dimensions temperature fit received proof and qualified selection remain required
BOM-079,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Raspberry Pi Active Cooler for Raspberry Pi 5 exact candidate; received identity push pins thermal pads fan connector installed current airflow clearance thermal fault enclosure and qualified application evidence remain required
BOM-080,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact metal Raspberry Pi 5 case and included 35 mm rail-bracket candidate; official Active Cooler compatibility is published but received identity hardware thread and length rail retention coating grounding EMC clearance airflow service and thermal evidence remain required
BOM-081,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact nonadhesive screw-mount hook-and-loop bases proposed for one U2D2 body and two cable-service-loop positions; exact panel fasteners torque rigid-device retention abrasion pull vibration flame application and received fit remain open
BOM-082,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 203.2 x 12.7 mm black releasable Grip Tie candidates paired with BOM-081; manufacturer publishes cable-bundling use rather than rigid U2D2 retention so compression slip abrasion pull vibration service-life and qualified application evidence remain open
BOM-083,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two exact 500 mm unperforated EN 60715 steel rail candidates replace the insufficient single perforated stock. Candidate segments DR1 323.8 mm DR2 153.8 mm DR3 65 mm and DR4 100 mm are planning lengths only; cut kerf hole pattern drilling deburr coating damage fasteners bonding load retention received inspection and qualified release remain open. Application quantity is not a manufacturer pack/order quantity
BOM-084,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,One exact 2000 mm 40 x 40 mm PVC duct candidate comprising upper part and mounting base covers the 1655.4 mm nominal WD1/WD2/WD3 planning total before kerf. Exact cut lengths kerf fill routing separation cover access fasteners thermal behavior received inspection and qualified release remain open. Application quantity is not a manufacturer pack/order quantity
BOM-085,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two exact NS 35/7.5-compatible end-bracket candidates each for DR1 DR2 and DR3. DR4 is deliberately excluded because the 100 mm planning rail and 90.5 mm case envelope do not establish room or compatibility for two 9.5 mm brackets; its end retention remains in BOM-059. Received fit installed retention load vibration service access and qualified release remain open; application quantity is not a manufacturer pack/order quantity
BOM-086,integrated_no_separate_purchase,INTEGRATED IN PARENT ITEM,PARENT QUANTITY CONTROLS,CURRENT PRIMARY SOURCE RECORDED,RECEIVED VERIFICATION REQUIRED,INTEGRATED NO SEPARATE PURCHASE,"R153 records three assembled branch cables as included package content with no separate purchase. Current official XM540/XM430 pages each list one 180 mm JST-JST X3P cable; the standalone 10-pack page identifies SKU 903-0249-000. Received identity, pin orientation, continuity, factory conductor construction, routing, bend/strain relief, connector retention, the JST EH 3 A versus XM540 4.4 A stall-current conflict, thermal, waveform, fault and qualified application evidence remain open; no connection or energization is authorized"
BOM-087,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R159 source-controls the routed four-layer P0.3 carrier and exact variant populations. R161 inserts three carrier interfaces between fused-prelimit and limited-postcarrier nets. Provider/process, PCB stack/material/finish, assembler DFM, first article, current-limit tolerance, reverse-energy, transient, thermal, fault, EMC, received inspection and qualified application evidence remain open; no upload, quotation, fabrication, assembly, connection or energization is authorized"
BOM-088,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,"R160 freezes the carrier-side JST VH contact/housing and red/black 18 AWG conductor candidates. R161 binds each input to F1.2/F2.2/F3.2 fused-prelimit and ACT_0V_PE_BONDED. Source-side terminal, exact cut length, route, strip/crimp process, insulation, strain relief, bend, pull, continuity, polarity, thermal/fault evidence and qualified review remain SELECTION REQUIRED"
BOM-089,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,"R160 freezes the carrier-side JST VH contact/housing and red/black 18 AWG conductor candidates. R161 binds each output to J1/J2/J3_LIMITED_VDD and ACT_0V_PE_BONDED at the P0.2 star candidate. Star-side terminal, exact cut length, route, strip/crimp process, insulation, strain relief, bend, pull, continuity, polarity, thermal/fault evidence and qualified review remain SELECTION REQUIRED"
BOM-090,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R162 proposes twelve exact M3 female/female insulating standoffs nominally 10 mm long with 6.5 mm bodies and 6 mm internal thread depth. Received dimensions/material/insert identity, temperature/fire/creep application, torque, pull/shear/vibration proof, panel fit and qualified review remain open; no procurement or mounting authority is issued"
BOM-091,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R162 proposes twelve PCB-side plus twelve panel-side nylon M3 x 0.5 x 6 mm pan-head screws. Received dimensions/material/lot, panel hole/tolerance/coating, torque/locking/reuse, creep, pull/shear/vibration, rear clearance and qualified review remain open; no procurement, drilling or mounting authority is issued"
