step_id,phase_id,phase_name,sequence,action,required_input_keys,required_evidence,owner_role_candidate,named_executor,named_reviewer,authorization_state,result,evidence_uri,stop_work_on_failure,energization_effect,warning
BT-P10-S07,BT-P10,Unpowered electrical assembly,7,"Stop before continuity, insulation or no-backfeed execution unless its separate procedure is authorized.",e2_sequence,electrical assembly phase signoff,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11-S01,BT-P11,Compute and firmware staging,1,"Receive and inspect exact compute, cooling, storage and power-adapter articles.",bom_closure,compute receiving record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11-S02,BT-P11,Compute and firmware staging,2,Write only an accepted image hash under the released rollback and recovery procedure.,release_candidate,image-write record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11-S03,BT-P11,Compute and firmware staging,3,"Install compute hardware using released tray, retention and cable controls.",control_panel,compute installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11-S04,BT-P11,Compute and firmware staging,4,Build firmware reproducibly and record exact source/toolchain/binary hashes.,release_candidate,firmware build record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11-S05,BT-P11,Compute and firmware staging,5,"Do not connect a source, open a device path, flash a connected actuator or request torque.",e2_sequence,unpowered firmware-boundary signoff,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S01,BT-P12,Integrated unpowered inspection,1,Reconcile the complete as-built article to the exact BOM and file manifest.,release_candidate|bom_closure,as-built configuration audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S02,BT-P12,Integrated unpowered inspection,2,Verify all required guards and receiver components are installed.,guard|receiver,integrated guard inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S03,BT-P12,Integrated unpowered inspection,3,Verify all torque witness marks and mechanical inspection records are complete.,mechanical_release,integrated mechanical audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S04,BT-P12,Integrated unpowered inspection,4,"Verify all actuator branches remain disconnected, covered and at an absent-source boundary.",electrical,actuator-source absence audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S05,BT-P12,Integrated unpowered inspection,5,"Verify every open selection, deviation and nonconformance remains visible and blocking.",energization_gates,open-item audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S06,BT-P12,Integrated unpowered inspection,6,Verify no test record claims execution from a template or checker.,procedure_registry,evidence-maturity audit,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S07,BT-P12,Integrated unpowered inspection,7,Photograph and hash the integrated unpowered article from controlled views.,release_candidate,as-built photograph manifest,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12-S08,BT-P12,Integrated unpowered inspection,8,Quarantine the complete article pending independent review and separate E2 authorization.,e2_sequence,integrated quarantine record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P13-S01,BT-P13,Connection and powered-work boundary,1,Do not connect or energize any source under this traveler.,energization_gates|e2_sequence,separate signed E2 authorization required,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
