wire_number,sheet,reference,terminal,pin_name,net,conductor_part_number,gauge,color,length_mm,termination_a,termination_b,routing_zone,release_state,configuration_identity,warning
W4004,04_contactor_edm.kicad_sch,K1,13,AUX NO IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4005,04_contactor_edm.kicad_sch,K1,22,MIRROR NC OUT,EDM_K1_OUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4006,04_contactor_edm.kicad_sch,K1,14,AUX NO OUT,K1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4007,04_contactor_edm.kicad_sch,K2,A1,COIL +,K2_A1,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4008,04_contactor_edm.kicad_sch,K2,A2,COIL -,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4009,04_contactor_edm.kicad_sch,K2,21,MIRROR NC IN,EDM_K1_OUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4010,04_contactor_edm.kicad_sch,K2,13,AUX NO IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4011,04_contactor_edm.kicad_sch,K2,22,MIRROR NC OUT,SRA1_START_RETURN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4012,04_contactor_edm.kicad_sch,K2,14,AUX NO OUT,K2_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9006,09_compute_and_control_terminals.kicad_sch,XT1,XT1-01,+24V,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / CONTROL,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9007,09_compute_and_control_terminals.kicad_sch,XT1,XT1-02,0V,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / CONTROL,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9008,09_compute_and_control_terminals.kicad_sch,XT1,XT1-03,SR1 STATUS,SR1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9009,09_compute_and_control_terminals.kicad_sch,XT1,XT1-04,SRA1 STATUS,SRA1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9010,09_compute_and_control_terminals.kicad_sch,XT1,XT1-05,K1 STATUS,K1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9011,09_compute_and_control_terminals.kicad_sch,XT1,XT1-06,K2 STATUS,K2_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS,NOT RELEASED - EXACT CATALOG/POSITION CANDIDATE; WIRING HOLD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
