inspection_id,part_id,module,characteristic,source_nominal,method,acceptance_limit,measured_value,result,evidence,warning
FC-I0066,L01_THIGH_TIE_Z300,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0067,L01_THIGH_TIE_Z300,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0068,L01_THIGH_TIE_Z300,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0069,L01_THIGH_TIE_Z355,L01,X/Y/Z printed envelope,46.000 x 40.000 x 2.500 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0070,L01_THIGH_TIE_Z355,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0071,L01_THIGH_TIE_Z355,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0072,L01_THIGH_TIE_Z355,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0073,F01_SOLE_CARRIER,F01,X/Y/Z printed envelope,86.000 x 138.000 x 2.500 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0074,F01_SOLE_CARRIER,F01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0075,F01_SOLE_CARRIER,F01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0076,F01_SOLE_CARRIER,F01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0077,F01_TOP_BRIDGE,F01,X/Y/Z printed envelope,68.000 x 86.000 x 2.500 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0078,F01_TOP_BRIDGE,F01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0079,F01_TOP_BRIDGE,F01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0080,F01_TOP_BRIDGE,F01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0081,A01_UPPER_ARM_LINK_FRONT,A01,X/Y/Z printed envelope,41.386 x 28.000 x 145.994 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0082,A01_UPPER_ARM_LINK_FRONT,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0083,A01_UPPER_ARM_LINK_FRONT,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0084,A01_UPPER_ARM_LINK_FRONT,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0085,A01_FOREARM_LINK_FRONT,A01,X/Y/Z printed envelope,8.498 x 26.000 x 145.034 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0086,A01_FOREARM_LINK_FRONT,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0087,A01_FOREARM_LINK_FRONT,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0088,A01_FOREARM_LINK_FRONT,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0089,A01_UPPER_ARM_LINK_REAR,A01,X/Y/Z printed envelope,41.386 x 28.000 x 145.994 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0090,A01_UPPER_ARM_LINK_REAR,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0091,A01_UPPER_ARM_LINK_REAR,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0092,A01_UPPER_ARM_LINK_REAR,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0093,A01_FOREARM_LINK_REAR,A01,X/Y/Z printed envelope,8.498 x 26.000 x 145.034 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0094,A01_FOREARM_LINK_REAR,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0095,A01_FOREARM_LINK_REAR,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0096,A01_FOREARM_LINK_REAR,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0097,L01_SHIN_FRONT_COVER,L01,X/Y/Z printed envelope,60.001 x 0.801 x 132.001 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0098,L01_SHIN_FRONT_COVER,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0099,L01_SHIN_FRONT_COVER,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0100,L01_SHIN_FRONT_COVER,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0101,L01_SHIN_REAR_COVER,L01,X/Y/Z printed envelope,60.001 x 0.801 x 132.001 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0102,L01_SHIN_REAR_COVER,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0103,L01_SHIN_REAR_COVER,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0104,L01_SHIN_REAR_COVER,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0105,L01_THIGH_FRONT_COVER,L01,X/Y/Z printed envelope,66.001 x 0.801 x 138.001 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0106,L01_THIGH_FRONT_COVER,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0107,L01_THIGH_FRONT_COVER,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0108,L01_THIGH_FRONT_COVER,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0109,L01_THIGH_REAR_COVER,L01,X/Y/Z printed envelope,66.001 x 0.801 x 138.001 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0110,L01_THIGH_REAR_COVER,L01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0111,L01_THIGH_REAR_COVER,L01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0112,L01_THIGH_REAR_COVER,L01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0113,F01_TOP_COVER,F01,X/Y/Z printed envelope,82.001 x 118.001 x 0.801 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0114,F01_TOP_COVER,F01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0115,F01_TOP_COVER,F01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0116,F01_TOP_COVER,F01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0117,A01_UPPER_ARM_FRONT_COVER,A01,X/Y/Z printed envelope,38.774 x 46.000 x 145.310 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0118,A01_UPPER_ARM_FRONT_COVER,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0119,A01_UPPER_ARM_FRONT_COVER,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0120,A01_UPPER_ARM_FRONT_COVER,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0121,A01_UPPER_ARM_REAR_COVER,A01,X/Y/Z printed envelope,38.774 x 46.000 x 145.310 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0122,A01_UPPER_ARM_REAR_COVER,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0123,A01_UPPER_ARM_REAR_COVER,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0124,A01_UPPER_ARM_REAR_COVER,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0125,A01_FOREARM_FRONT_COVER,A01,X/Y/Z printed envelope,5.800 x 44.000 x 144.941 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0126,A01_FOREARM_FRONT_COVER,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0127,A01_FOREARM_FRONT_COVER,A01,holes/slots/inserts,native STEP geometry,go/no-go pins or received hardware SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0128,A01_FOREARM_FRONT_COVER,A01,surface/warp/support damage,native STEP geometry,visual plus flatness method SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0129,A01_FOREARM_REAR_COVER,A01,X/Y/Z printed envelope,5.800 x 44.000 x 144.941 mm,caliper/tape method and uncertainty SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-I0130,A01_FOREARM_REAR_COVER,A01,mating/interface fit,native STEP geometry,controlled mating hardware or gauge SELECTION REQUIRED,"SELECTION REQUIRED - fit-check development result, not production tolerance",NONE,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
