hold_id,hold,state,closure_evidence,warning
HOLD-97,HR-V0-LOT-A-INQUIRY-P0.2: Authorize temporary threaded assembly,OPEN,Exact manufacturer/engineering hardware instruction and separate work authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-98,HR-V0-JOINT-MEAS-DEF-P0.1: received-to-source feature-match rule,OPEN,"provider proposal, mismatch disclosure and qualified acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-99,HR-V0-JOINT-MEAS-DEF-P0.1: accepted joint-axis construction,OPEN,"feature accessibility, fit algorithm, residual limits and uncertainty","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-100,HR-V0-JOINT-MEAS-DEF-P0.1: accepted plane-fit and outlier rule,OPEN,"sampling plan, filtering disclosure, residuals and uncertainty","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-101,HR-V0-JOINT-MEAS-DEF-P0.1: manufacturer function allocation for cylindrical patterns,OPEN,current written ROBOTIS evidence; geometry alone is insufficient,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-102,HR-V0-JOINT-MEAS-DEF-P0.1: received article instance allocation to J1 and J2,OPEN,serial/lot/configuration record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-103,HR-V0-JOINT-MEAS-DEF-P0.1: measurement support and probe/scan accessibility,OPEN,provider method proposal and no-bias evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-104,HR-V0-JOINT-MEAS-DEF-P0.1: M01/M02/M03/M04/M05 uncertainty budgets,OPEN,"numeric component budgets, traceability and validation","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-105,HR-V0-JOINT-MEAS-DEF-P0.1: acceptance limits for every characteristic,OPEN,downstream fit/load/tolerance analysis and qualified approval,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-106,HR-V0-JOINT-MEAS-DEF-P0.1: external zero-angle convention,OPEN,signed physical datum and method definition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-107,HR-V0-JOINT-MEAS-DEF-P0.1: temporary assembly hardware/torque/reuse,OPEN,manufacturer or qualified mechanical instruction,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-108,HR-V0-JOINT-MEAS-DEF-P0.1: provider and performing facility,OPEN,"accepted R255 bid, calibration, scope and commercial decision","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-109,HR-V0-JOINT-MEAS-DEF-P0.1: physical work authorization,OPEN,configuration-specific signed authority after all entry gates,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-110,HR-V0-LOT-A-INQUIRY-P0.3: Authorize each external inquiry transmission,OPEN,"Exact message/attachments hashes, recipient route, sender/reply identity, program-owner approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-111,HR-V0-LOT-A-INQUIRY-P0.3: Resolve XM540 -T/-R identity,OPEN,Accepted R257-RQ-01/02 response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-112,HR-V0-LOT-A-INQUIRY-P0.3: Accept no-substitution and contents,OPEN,Accepted R257-RQ-03/06/07 response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-113,HR-V0-LOT-A-INQUIRY-P0.3: Accept current allocation and quote,OPEN,Unexpired response/quote,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-114,HR-V0-LOT-A-INQUIRY-P0.3: Set maximum purchase spend,OPEN,Numerical signed limit,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-115,HR-V0-LOT-A-INQUIRY-P0.3: Freeze ship-to/receiver/quarantine,OPEN,Named adult receiver and controlled location,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-116,HR-V0-LOT-A-INQUIRY-P0.3: Authorize receipt-only purchase,OPEN,"Exact commit, lines, seller, quote, maximum spend, exclusions","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-117,HR-V0-LOT-A-INQUIRY-P0.3: Receive and reconcile six articles,OPEN,"Labels, lots, contents, photos, discrepancies","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-118,HR-V0-LOT-A-INQUIRY-P0.3: Accept provider identity/scope,OPEN,Complete attributable response and bid map,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-119,HR-V0-LOT-A-INQUIRY-P0.3: Accept equipment/calibration/accreditation,OPEN,Certificates and result scope map,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-120,HR-V0-LOT-A-INQUIRY-P0.3: Accept method-specific supports/datums,OPEN,M01-M05 technical proposals independently reviewed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-121,HR-V0-LOT-A-INQUIRY-P0.3: Accept method-specific uncertainty budgets,OPEN,Numeric budgets and validation evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-122,HR-V0-LOT-A-INQUIRY-P0.3: Select provider and commercial scope,OPEN,Technical acceptance plus program-owner commercial decision,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-123,HR-V0-LOT-A-INQUIRY-P0.3: Authorize shipment/work,OPEN,"Configuration-specific scope, articles, methods, witnesses, stop conditions","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-124,HR-V0-LOT-A-INQUIRY-P0.3: Authorize temporary threaded assembly,OPEN,Exact manufacturer/engineering hardware instruction and separate work authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-125,HR-V0-LOT-A-INQUIRY-P0.3: Accept exact feature-match and per-characteristic bid,OPEN,Complete 79-feature discrepancy method plus 18-row bid/technical response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-126,HR-V0-LOT-A-TX-BUNDLE-P0.1: Verify exact archive SHA-256 and deterministic reproduction,OPEN,dedicated checker and independent hash record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-127,HR-V0-LOT-A-TX-BUNDLE-P0.1: Confirm intended organization and current public route,OPEN,same-day attributable route check,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-128,HR-V0-LOT-A-TX-BUNDLE-P0.1: Select sender identity and monitored reply address,OPEN,named adult-controlled identities,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-129,HR-V0-LOT-A-TX-BUNDLE-P0.1: Review route-specific message and attachments,OPEN,signed no-leakage/content review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-130,HR-V0-LOT-A-TX-BUNDLE-P0.1: Scan exact archive before transmission,OPEN,current malware/content scan record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-131,HR-V0-LOT-A-TX-BUNDLE-P0.1: Authorize one exact transmission,OPEN,"signed route, archive hash, recipient, sender and expiry","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-132,HR-V0-LOT-A-TX-BUNDLE-P0.1: Record actual transmission event,OPEN,"timestamp, transport, recipient and archive hash","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-133,HR-V0-LOT-A-TX-BUNDLE-P0.1: Verify provider receipt without authorizing work,OPEN,attributable receipt acknowledgement,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-134,HR-V0-LOT-A-TX-BUNDLE-P0.1: Ingest and hash returned evidence,OPEN,immutable response register; no technical acceptance inferred,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-135,HR-V0-LOT-A-TX-BUNDLE-P0.1: Prohibit stale/superseded bundle use,OPEN,P0.1/current-commit verification immediately before any send,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-136,HR-V0-LOT-A-TX-BUNDLE-P0.1: Accept redistribution authority for the three vendor STEP files,OPEN,current license/permission evidence covering external transmission to the exact recipient,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-137,HR-V0-OBS-BOM-INTEGRATION-P0.1: runtime carrier fabrication and assembly,OPEN,provider/process/stackup/DFM/XYRS/first article and received inspection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-138,HR-V0-OBS-BOM-INTEGRATION-P0.1: Pi carrier fabrication and assembly,OPEN,provider/process/DFM/header land/stack/first article and received inspection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-139,HR-V0-OBS-BOM-INTEGRATION-P0.1: runtime mounting hardware,DESIGN REQUIRED,"exact four-site hardware identities, stack, panel interface, torque and proof","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-140,HR-V0-OBS-BOM-INTEGRATION-P0.1: Pi mounting hardware,DESIGN REQUIRED,"exact four-site hardware identities, stack, cooler/case clearance, torque and fit","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-141,HR-V0-OBS-BOM-INTEGRATION-P0.1: field harness,SELECTION REQUIRED,"five cut lengths, routes, support, preparations, labels and physical results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-142,HR-V0-OBS-BOM-INTEGRATION-P0.1: compute harness,SELECTION REQUIRED,"six cut lengths, routes, separation, support, preparations, labels and physical results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-143,HR-V0-OBS-BOM-INTEGRATION-P0.1: conductor material allocation,SELECTION REQUIRED,"make/buy strategy, actual procurement quantities, received identity/DCR and process allowance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-144,HR-V0-OBS-BOM-INTEGRATION-P0.1: qualified review and authority,NOT EXECUTED,qualified electrical/mechanical/functional-safety dispositions and separate written stage authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-145,HR-V0-OBS-MOUNT-STACK-P0.1: Samtec header procurement,SELECTION REQUIRED,written Samtec-authorized generally orderable alternate or accepted existing-customer supply route; exact series-print match,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-146,HR-V0-OBS-MOUNT-STACK-P0.1: Pi header/spacer stack,PHYSICAL EVIDENCE REQUIRED,"received Pi, carrier, header, cooler/case and hardware; measured free stack; no clamp, bow or connector side load","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-147,HR-V0-OBS-MOUNT-STACK-P0.1: runtime screw current identity,SELECTION REQUIRED,manufacturer confirmation whether 0120070000VR or NSE-1580-M3-6 is the current orderable equivalent,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-148,HR-V0-OBS-MOUNT-STACK-P0.1: mounting material and electrical boundary,QUALIFIED REVIEW REQUIRED,insulation/bonding disposition; conductive Harwin alternative remains rejected unless bonding is formally resolved,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-149,HR-V0-OBS-MOUNT-STACK-P0.1: received geometry and tolerances,PHYSICAL EVIDENCE REQUIRED,"received boards, panel, Pi and hardware measured; drawing-reference limitations reconciled","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-150,"HR-V0-OBS-MOUNT-STACK-P0.1: torque, creep, load and thermal behavior",TEST REQUIRED,selected torque limits; calibrated tool; static/load/vibration/thermal/creep results and qualified disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-151,HR-V0-OBS-MOUNT-STACK-P0.1: runtime panel holes and placement,DESIGN REQUIRED,"provider drawing, tolerances, diameter, deburr/coating process, physical overlay/connector sweep and separate work authorization","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-152,HR-V0-OBS-MOUNT-STACK-P0.1: field and compute harness routes/cuts,SELECTION REQUIRED,"received placement, exact endpoints/duct/case, cut and preparation schedules, separation, continuity/pull evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-153,HR-V0-OBS-MOUNT-STACK-P0.1: qualified review and authority,NOT EXECUTED,qualified electrical/mechanical/functional-safety review and separate written stage authorization,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-154,HR-V0-U2D2-JC1-HARNESS-P0.1: received endpoint placement and route,PHYSICAL EVIDENCE REQUIRED,"received U2D2 and star-carrier connector datums, route, clearances, support and service-loop acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-155,HR-V0-U2D2-JC1-HARNESS-P0.1: finished length,PHYSICAL EVIDENCE REQUIRED,500 +/- 5 mm candidate passes received route and does not load connectors,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-156,HR-V0-U2D2-JC1-HARNESS-P0.1: raw cut and process allowance,SELECTION REQUIRED,"official contact-processing data, accepted crimp coupons and first-article trim/twist record","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-157,HR-V0-U2D2-JC1-HARNESS-P0.1: crimp tool/process and inspection,SELECTION REQUIRED,"received YRS-260 identity/calibration, official crimp limits, accepted section/visual/pull evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-158,HR-V0-U2D2-JC1-HARNESS-P0.1: wire orderability and received identity,PHYSICAL EVIDENCE REQUIRED,"3051 BK005/WH005 received lot, construction, OD, DCR and compatibility evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-159,HR-V0-U2D2-JC1-HARNESS-P0.1: housing/contact received identity,PHYSICAL EVIDENCE REQUIRED,"EHR-3 and SEH-001T-P0.6 lot, dimensions, orientation and retention evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-160,HR-V0-U2D2-JC1-HARNESS-P0.1: continuity/isolation and pin-2 omission,TEST REQUIRED,completed unpowered matrix with accepted limits and independent review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-161,HR-V0-U2D2-JC1-HARNESS-P0.1: no-backfeed,TEST REQUIRED,all accepted source-off/on combinations prove no unintended U2D2 VDD/USB energy path,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-162,HR-V0-U2D2-JC1-HARNESS-P0.1: signal integrity,TEST REQUIRED,waveform and error-rate evidence at selected DXL rates and worst actuator-current transients,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-163,HR-V0-U2D2-JC1-HARNESS-P0.1: routing separation and strain relief,PHYSICAL EVIDENCE REQUIRED,"as-built photos/measurements show accepted bend radius, separation, support and connector load","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-164,HR-V0-U2D2-JC1-HARNESS-P0.1: label and as-built record,SELECTION REQUIRED,"selected label material, both-end identification and signed as-built pin/length record","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-165,HR-V0-U2D2-JC1-HARNESS-P0.1: qualified review and work authority,NOT EXECUTED,qualified electrical/controls disposition and separate written authorization for each physical stage,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-166,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: transmission authority,NOT AUTHORIZED,named sender and written authorization to transmit exact ZIP through official route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-167,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: provider technical response,NOT RECEIVED,attributable GAM response to all eighteen questions,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-168,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: provider part number and drawing,SELECTION REQUIRED,unique custom assembly identity and accepted numbered drawing,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-169,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: wire/contact process compatibility,SELECTION REQUIRED,GAM acceptance of Belden wire or accepted exact substitute and controlled SEH process,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-170,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: dimension datum and first article,PHYSICAL EVIDENCE REQUIRED,provider datum reconciliation and received 500 +/- 5 mm first-article record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-171,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: crimp/process validation,PHYSICAL EVIDENCE REQUIRED,"controlled specification attestation, tool/applicator identity and accepted coupon/process evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-172,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: electrical and population inspection,TEST REQUIRED,100 percent continuity/isolation/cavity-population results with accepted limits,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-173,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: commercial and purchase decision,SELECTION REQUIRED,"attributable quote, comparison, budget/quantity decision and separate purchase authorization","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-174,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: received route and system tests,PHYSICAL EVIDENCE REQUIRED,"installed fit, strain, separation, no-backfeed and waveform/error-rate evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-175,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1: qualified review and work authority,NOT EXECUTED,qualified electrical/controls acceptance and separate written authority for each physical stage,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-176,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: P0.2 carrier placement,OPEN,"received carrier/enclosure dimensions, depth, connector sweeps, standoffs, airflow, cover and service-access proof for all three rotated candidates","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-177,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: 5025 circuit/return assignment,OPEN,received block orientation and a controlled one-ring-per-branch-screw F1/F2/F3 positive/return assignment,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-178,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: route and cut lengths,OPEN,"installed route measurement for all six harnesses including duct transitions, 20 mm bends, supports, service loops and termination allowances","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-179,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: JST processing,OPEN,"manufacturer/qualified-provider strip, crimp, tool, inspection, pull and sampling limits for SVH-21T-P1.1 with Belden 9918","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-180,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: Panduit processing,OPEN,"approved PN18-8R-E/Belden 9918 tooling/product combination, strip/crimp limits, inspection, pull and sampling evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-181,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: labels and supports,OPEN,"exact label, abrasion protection, tie-down and strain-relief materials plus placement/retention evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-182,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: installed electrical limits,OPEN,"fault current, fuse, source foldback, ambient, bundling, connector/terminal limits, inrush, regeneration, duty and jurisdiction evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-183,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: received electrical inspection,OPEN,"configuration-bound continuity, polarity, isolation, torque and retention results for every harness","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-184,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2: protected physical tests,OPEN,"accepted limited-energy voltage-drop, temperature-rise, fault-clearing and reverse-energy results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
