requirement_id,review_state,parent_statement,child_requirement_register,closure_evidence,approval_effect,warning
WALK-014,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Each segmented joint bus shall demonstrate the released command and feedback schedule with a byte-level packet budget measured worst-case latency jitter utilization and injected fault traffic.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-009,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every powered full-body phase shall define and test the response to sudden drive-energy loss for every released pose and mode before restraint dependence is reduced.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,A configuration calibration polarity or mirrored-joint mismatch shall inhibit drive enable and latch a recorded fault.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every requirement risk and release gate shall identify an accountable owner acceptance evidence approver and controlled change history before design review approval.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-006,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Before any actuator torque-enable request the supervisor shall verify the received actuator identity firmware ID operating mode startup-torque and torque-on-goal-update bits current limit goal-current bound hardware-error state and torque-off state against the released configuration; any mismatch shall inhibit torque and latch a recorded fault. The internal current limit shall not substitute for external branch-current connector thermal and protection evidence.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,For guarded HR-V0 testing the ordinary heartbeat watchdog shall be treated only as an uncredited diagnostic power-removal demand: candidate detection is 300 ms maximum before relay and contactor delays; restoration shall not bypass monitored physical RESET and later physical ARM; the safety risk assessment shall assume that this diagnostic can fail to operate.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 release BOM shall enumerate every purchased fabricated included-kit harness software-image and configuration-critical item with exact quantity order-code state primary-source state application-evidence state and receiving or closure route; every unresolved field shall remain SELECTION REQUIRED.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 mechanical release shall define one controlled bench-to-object datum chain every assembly component every mechanical interface exact profile cut lengths and the closure evidence for each unresolved dimension fastener fit guard stop cable and anchor boundary; generated assembly views shall agree with the native CAD and system BOM.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every HR-V0 T-slot frame joint shall have an enumerated bracket and mounting-hardware order code quantity orientation load-path screen controlled torque-development method receiving record proof record inspection mark reuse rule and qualified mechanical disposition; absent physical evidence shall inhibit assembly acceptance.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 bench interface shall be released only for one identified surveyed bench with documented owner permission substrate construction thickness edge distances top and underside access exact anchors bolts washers and backing parts calculated shear tension overturning bearing pull-through and bench-support loads controlled installation torque numerical proof criteria inspection marks and qualified mechanical disposition; absent or changed site evidence shall inhibit assembly and energization acceptance.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 arm architecture shall use exact manufacturer-coordinate actuator and frame geometry to define every body-frame output-frame link and gripper transform; the released native assembly shall prove J1/J2 axis orientation and parallelism link lengths collision and tool access fastener stacks cable space structural load path and tolerance closure; any superseded or unresolved transform shall inhibit quotation fabrication assembly and energization.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-006,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The released HR-V0 J2 commanded limit and independent mechanical hard stop shall remain below the first validated self-collision angle by a documented margin greater than the combined worst-case control delay stopping overtravel backlash compliance build tolerance and measurement uncertainty in every permitted payload speed and fault case; any unmeasured or nonpositive margin shall inhibit actuator connection and energization.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Before any E2 control-only energization the complete unpowered HR-V0 article shall be reconciled to one accepted commit manifest BOM ECAD CAD firmware and procedure baseline with guards installed torque witnesses intact and every deviation closed or explicitly accepted by the accountable qualified reviewer.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Before any E2 source is connected a qualified electrical reviewer shall accept the exact site supply external factory adapters protective-earth treatment insulation obligations disconnect method instruments and numerical test limits for the as-built configuration.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every HR-V0 extra-low-voltage conductor terminal and connector shall pass point-to-point continuity polarity isolation resistance and no-backfeed inspection against the accepted ECAD and as-built harness before E2 control power is applied.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,E2 shall energize only the accepted 24 V safety/control and 5.1 V compute sources while the actuator 12 V source is physically absent and all actuator branches are disconnected covered and verified at zero volts; the staged safety-logic tests shall prove no automatic restart and shall not claim motion or stopping-distance validation.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Each E2 run shall require written configuration-specific authorization by the test director qualified electrical reviewer functional-safety reviewer and independent witness; any prerequisite change unexpected voltage unauthorized state expired calibration open deviation or exclusion-zone breach shall immediately revoke authorization and require controlled shutdown.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 DYNAMIXEL transport shall remain unable to open a device or write a register while any received identity current calibration profile voltage temperature operating-system SDK or device-path selection is unresolved; after release it shall force torque off before discovery verify an exact device set configure and read back with torque off enable torque only for one fresh matching supervisor trajectory and remove torque on every authority communication watchdog telemetry or execution fault without resuming the prior target.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
