child_id,parent_id,sequence,level,child_statement,priority,verification_id,parent_procedure_evidence,parent_procedure_acceptance,child_acceptance_criterion_candidate,required_result_fields,child_acceptance_binding,internal_atomicity_screen,status,evidence_uri,accountable_person,approver_person,decision,warning
CTRL-007-A05,CTRL-007,5,control,Heartbeat restoration shall not bypass the later distinct physical ARM action.,MUST,TEST-SAFE-002,Raw timing traces fault matrix guard-containment reference and signed report,Nominal loss issues a power-removal demand after no more than the 300 ms candidate detection time plus separately recorded relay safety-relay contactor and rail-decay delays; restoration alone never re-energizes either coil; every failed-to-trip case remains contained by the released guard and hard stops,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: Heartbeat restoration shall not bypass the later distinct physical ARM action.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A06,CTRL-007,6,control,The safety risk assessment shall assume that the ordinary heartbeat diagnostic can fail to operate.,MUST,TEST-SAFE-002,Raw timing traces fault matrix guard-containment reference and signed report,Nominal loss issues a power-removal demand after no more than the 300 ms candidate detection time plus separately recorded relay safety-relay contactor and rail-decay delays; restoration alone never re-energizes either coil; every failed-to-trip case remains contained by the released guard and hard stops,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: The safety risk assessment shall assume that the ordinary heartbeat diagnostic can fail to operate.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A01,CTRL-008,1,control,The HR-V0 DYNAMIXEL transport shall not open a device while any required received identity is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while any required received identity is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A02,CTRL-008,2,control,The HR-V0 DYNAMIXEL transport shall not write a register while any required current selection is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while any required current selection is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A03,CTRL-008,3,control,The HR-V0 DYNAMIXEL transport shall not open a device while calibration is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while calibration is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A04,CTRL-008,4,control,The HR-V0 DYNAMIXEL transport shall not open a device while the motion profile is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while the motion profile is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A05,CTRL-008,5,control,The HR-V0 DYNAMIXEL transport shall not open a device while voltage limits are unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while voltage limits are unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A06,CTRL-008,6,control,The HR-V0 DYNAMIXEL transport shall not open a device while temperature limits are unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while temperature limits are unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A07,CTRL-008,7,control,The HR-V0 DYNAMIXEL transport shall not open a device while operating-system selection is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while operating-system selection is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A08,CTRL-008,8,control,The HR-V0 DYNAMIXEL transport shall not open a device while device-path selection is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while device-path selection is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A09,CTRL-008,9,control,After release the transport shall command torque off before actuator discovery.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall command torque off before actuator discovery.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A10,CTRL-008,10,control,After release the transport shall verify the exact received device set before configuration.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall verify the exact received device set before configuration.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A11,CTRL-008,11,control,After release the transport shall configure actuators while torque remains off.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall configure actuators while torque remains off.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A12,CTRL-008,12,control,After release the transport shall read back the released configuration while torque remains off.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall read back the released configuration while torque remains off.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A13,CTRL-008,13,control,After release the transport shall enable torque only for one fresh supervisor trajectory whose configuration matches.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall enable torque only for one fresh supervisor trajectory whose configuration matches.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A14,CTRL-008,14,control,After release the transport shall remove torque on any authority fault.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any authority fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A15,CTRL-008,15,control,After release the transport shall remove torque on any communication fault.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any communication fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A16,CTRL-008,16,control,After release the transport shall remove torque on any watchdog fault.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any watchdog fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A17,CTRL-008,17,control,After release the transport shall remove torque on any telemetry fault.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any telemetry fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A18,CTRL-008,18,control,After release the transport shall remove torque on any execution fault.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any execution fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A19,CTRL-008,19,control,After any CTRL-008 fault the transport shall not resume the prior target.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After any CTRL-008 fault the transport shall not resume the prior target.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A20,CTRL-008,20,control,The HR-V0 DYNAMIXEL transport shall not write a register while calibration is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while calibration is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A21,CTRL-008,21,control,The HR-V0 DYNAMIXEL transport shall not write a register while the motion profile is unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while the motion profile is unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A22,CTRL-008,22,control,The HR-V0 DYNAMIXEL transport shall not write a register while voltage limits are unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while voltage limits are unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A23,CTRL-008,23,control,The HR-V0 DYNAMIXEL transport shall not write a register while temperature limits are unresolved.,MUST,TEST-CTRL-007,Completed HIL CSV raw packets serial/USB logs timing and oscilloscope traces calibration records fault matrix video nonconformance dispositions and signed controls electrical and independent-witness approval,Unresolved configuration cannot open the port; the exact released bus configures only with torque off; every unexpected ID packet error timeout unplug process failure watchdog expiry authority loss telemetry limit brownout reboot or partial-write case removes torque within the separately released limit and never resumes the prior target,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while temperature limits are unresolved.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
