child_id,parent_id,verification_id,procedure_revision,configuration_id,observed_value_or_state,acceptance_limit,result_PASS_or_FAIL,evidence_uri,executor,timestamp,reviewer,decision,warning
CTRL-007-A01,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: The ordinary HR-V0 heartbeat watchdog shall receive zero safety credit.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A02,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: The ordinary HR-V0 heartbeat watchdog shall be treated only as a diagnostic power-removal demand.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A03,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: The candidate heartbeat-loss detection interval shall not exceed 300 ms before relay and contactor delays.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A04,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: Heartbeat restoration shall not bypass monitored physical RESET.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A05,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: Heartbeat restoration shall not bypass the later distinct physical ARM action.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-007-A06,CTRL-007,TEST-SAFE-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-SAFE-002 configuration-bound evidence demonstrates: The safety risk assessment shall assume that the ordinary heartbeat diagnostic can fail to operate.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A01,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while any required received identity is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A02,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while any required current selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A03,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while calibration is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A04,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while the motion profile is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A05,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while voltage limits are unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A06,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while temperature limits are unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A07,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while operating-system selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A08,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while device-path selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A09,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall command torque off before actuator discovery.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A10,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall verify the exact received device set before configuration.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A11,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall configure actuators while torque remains off.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A12,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall read back the released configuration while torque remains off.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A13,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall enable torque only for one fresh supervisor trajectory whose configuration matches.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A14,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any authority fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A15,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any communication fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A16,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any watchdog fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A17,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any telemetry fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A18,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall remove torque on any execution fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A19,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After any CTRL-008 fault the transport shall not resume the prior target.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A20,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while calibration is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A21,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while the motion profile is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A22,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while voltage limits are unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A23,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while temperature limits are unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A24,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while operating-system selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A25,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not open a device while SDK selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A26,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while SDK selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A27,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: The HR-V0 DYNAMIXEL transport shall not write a register while device-path selection is unresolved.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-008-A28,CTRL-008,TEST-CTRL-007,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CTRL-007 configuration-bound evidence demonstrates: After release the transport shall enable torque only for one fresh supervisor trajectory whose preconditions match.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-001-A01,ELEC-001,INSPECT-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-001 configuration-bound evidence demonstrates: The actuator-power domain shall have protection independent of the safety-control-power domain.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-001-A02,ELEC-001,INSPECT-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-001 configuration-bound evidence demonstrates: The safety-control-power domain shall have protection independent of the compute-power domain.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-001-A03,ELEC-001,INSPECT-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-001 configuration-bound evidence demonstrates: The compute-power domain shall have protection independent of the actuator-power domain.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A01,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power branch shall have separately selected branch protection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A02,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power-branch conductor shall be rated for the verified application load.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A03,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power-branch connector shall be rated for the verified application load.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A04,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power branch shall have coordinated branch protection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A05,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power-branch conductor shall be rated for the verified installation conditions.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003-A06,ELEC-003,INSPECT-ELEC-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-ELEC-002 configuration-bound evidence demonstrates: Each actuator-power-branch connector shall be rated for the verified installation conditions.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-004-A01,ELEC-004,TEST-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-ELEC-001 configuration-bound evidence demonstrates: Each exposed mains terminal shall be inaccessible without a tool.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-004-A02,ELEC-004,TEST-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-ELEC-001 configuration-bound evidence demonstrates: Each conductive enclosure requiring protective bonding shall be protectively earthed by the released implementation.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-004-A03,ELEC-004,TEST-ELEC-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-ELEC-001 configuration-bound evidence demonstrates: Each conductive machine structure requiring protective bonding shall be protectively earthed by the released implementation.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A01,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each requirement shall identify an accountable owner before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A02,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each requirement shall identify its acceptance evidence before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A03,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each requirement shall identify an approver before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A04,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each requirement shall have controlled change history before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A05,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each risk shall identify an accountable owner before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A06,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each risk shall identify its acceptance evidence before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A07,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each risk shall identify an approver before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A08,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each risk shall have controlled change history before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A09,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each release gate shall identify an accountable owner before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A10,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each release gate shall identify its acceptance evidence before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A11,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each release gate shall identify an approver before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GOV-001-A12,GOV-001,AUDIT-GOV-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-GOV-001 configuration-bound evidence demonstrates: Each release gate shall have controlled change history before design-review approval.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
