package_status,sheet,reference,pin_or_terminal,pin_name,net,wire_number,note
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,TBD-C-,CHARGE_NEG,CHARGER_NEG_RAW,W2020,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,TBD-P,PRESENT,CHARGE_PRESENT,W2022,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,TBD-I+,INPUT_POS,CHARGER_POS_RAW,W2021,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,TBD-I-,INPUT_NEG,CHARGER_NEG_RAW,W2020,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,TBD-P+,PACK_CHARGE_POS,BAT_CHARGE_POS,W2009,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,TBD-P-,PACK_CHARGE_NEG,BAT_CHARGE_NEG,W2008,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,TBD-ILK,INTERLOCK,CHARGE_PRESENT,W2022,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,TBD-IN,PACK_DATA,BAT_TELEMETRY,W2018,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,TBD-V,PACK_V_SENSE,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,TBD-0V,PACK_RETURN,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,TBD-OUT,ISOLATED_DATA,BAT_TELEMETRY_LOGIC,W2019,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,TBD-L0,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-PWR,POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-0V,RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-CHG,CHARGE_PRESENT,CHARGE_PRESENT,W2022,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-VS,DC_LINK_SENSE,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-KM,MAIN_COIL,BAT_MAIN_COIL,W2012,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-KP,PRECHARGE_COIL,BAT_PRECHARGE_COIL,W2016,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-MA,MAIN_MIRROR_A,BAT_MAIN_MIRROR_A,W2013,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,TBD-MB,MAIN_MIRROR_B,BAT_MAIN_MIRROR_B,W2014,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,TBD-P+,SOURCE_POS,HR30_TETHER_POS,W2071,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,TBD-P-,SOURCE_NEG,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,TBD-PE,PE_OR_SHIELD,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FTHR1,TBD-I,IN,HR30_TETHER_POS,W2071,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FTHR1,TBD-O,OUT,HR30_TETHER_PROTECTED,W2072,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,TBD-T,TETHER_IN,HR30_TETHER_PROTECTED,W2072,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,TBD-B,BATTERY_IN,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,TBD-O,SOURCE_OUT,HR30_SOURCE_RAW,W2069,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,TBD-I,CHARGE_INHIBIT,CHARGE_PRESENT,W2022,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FHR0,TBD-I,IN,HR30_SOURCE_RAW,W2069,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FHR0,TBD-O,OUT,HR30_SOURCE_FUSED,W2068,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,TBD-C1A,CH1_A,HR30_ESTOP_CH1_FEED,W2031,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,TBD-C1B,CH1_B,HR30_ESTOP_CH1_RETURN,W2032,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,TBD-C2A,CH2_A,HR30_ESTOP_CH2_FEED,W2033,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,TBD-C2B,CH2_B,HR30_ESTOP_CH2_RETURN,W2034,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,A1,A1,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,S11,S11,HR30_ESTOP_CH1_FEED,W2031,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,S12,S12,HR30_ESTOP_CH1_RETURN,W2032,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,S21,S21,HR30_ESTOP_CH2_FEED,W2033,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,S22,S22,HR30_ESTOP_CH2_RETURN,W2034,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,S34,S34,HR30_RESET_LOOP_RETURN,W2060,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,13,13,HR30_WATCHDOG_PERMIT_24V,W2076,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,14,14,HR30_K1_COIL_CMD,W2036,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,23,23,HR30_WATCHDOG_PERMIT_24V,W2076,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,24,24,HR30_K2_COIL_CMD,W2039,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,33,33,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,34,34,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,41,41,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,42,42,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,Y32,Y32,HR30_SR_STATUS_24V,W2070,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH1,TBD-A,CONTACT_A,HR30_ESTOP_CH1_RETURN,W2032,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH1,TBD-B,CONTACT_B,HR30_EDM_STAGE_1,W2029,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FSRH1,TBD-I,IN,HR30_WATCHDOG_PERMIT_RAW_24V,W2077,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FSRH1,TBD-O,OUT,HR30_WATCHDOG_PERMIT_24V,W2076,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-L,MAIN_LINE,HR30_SOURCE_FUSED,W2068,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-T,MAIN_LOAD,HR30_K1_LOAD,W2037,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-A1,COIL_POS,HR30_K1_COIL_CMD,W2036,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-A2,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-M1,MIRROR_IN,HR30_EDM_STAGE_1,W2029,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-M2,MIRROR_OUT,HR30_EDM_STAGE_2,W2030,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-SC,STATUS_COM,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,TBD-SN,STATUS_NO,HR30_K1_STATUS_24V,W2038,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-L,MAIN_LINE,HR30_K1_LOAD,W2037,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-T,MAIN_LOAD,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-A1,COIL_POS,HR30_K2_COIL_CMD,W2039,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-A2,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-M1,MIRROR_IN,HR30_EDM_STAGE_2,W2030,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-M2,MIRROR_OUT,HR30_RESET_LOOP_RETURN,W2060,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-SC,STATUS_COM,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,TBD-SN,STATUS_NO,HR30_K2_STATUS_24V,W2040,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH1,TBD-+,COIL_POS,HR30_K1_COIL_CMD,W2036,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH1,TBD--,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH2,TBD-+,COIL_POS,HR30_K2_COIL_CMD,W2039,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH2,TBD--,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,A1,A1,HR30_WATCHDOG_COIL_24V,W2075,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,11,11_COM,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,12,12_NC,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,14,14_NO,HR30_WATCHDOG_PERMIT_RAW_24V,W2077,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,TBD-I+,INPUT_POS,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,TBD-I-,INPUT_NEG,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,TBD-O+,OUTPUT_12V,HR30_UPPER_12V,W2074,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,TBD-O-,OUTPUT_0V,HR30_UPPER_0V,W2073,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-D+,LOGIC_D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-D-,LOGIC_D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-REF,BUS_REFERENCE,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-SH,SHIELD,RS485_LEFT_SHIELD,W2114,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-PWR,LOGIC_POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,TBD-0V,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL1,TBD-1,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL1,TBD-2,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL2,TBD-1,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL2,TBD-2,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL1,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL1,TBD-O,OUT,HR30_LEFT_M1_VDD,W2041,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL2,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL2,TBD-O,OUT,HR30_LEFT_M2_VDD,W2042,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL3,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL3,TBD-O,OUT,HR30_LEFT_M3_VDD,W2043,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL4,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL4,TBD-O,OUT,HR30_LEFT_M4_VDD,W2044,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL5,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL5,TBD-O,OUT,HR30_LEFT_M5_VDD,W2045,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL6,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL6,TBD-O,OUT,HR30_LEFT_M6_VDD,W2046,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,2,VDD,HR30_LEFT_M1_VDD,W2041,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,2,VDD,HR30_LEFT_M2_VDD,W2042,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,2,VDD,HR30_LEFT_M3_VDD,W2043,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,2,VDD,HR30_LEFT_M4_VDD,W2044,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,2,VDD,HR30_LEFT_M5_VDD,W2045,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,2,VDD,HR30_LEFT_M6_VDD,W2046,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,3,D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,4,D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-D+,LOGIC_D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-D-,LOGIC_D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-REF,BUS_REFERENCE,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-SH,SHIELD,RS485_RIGHT_SHIELD,W2117,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-PWR,LOGIC_POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,TBD-0V,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR1,TBD-1,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR1,TBD-2,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR2,TBD-1,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR2,TBD-2,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR1,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR1,TBD-O,OUT,HR30_RIGHT_M1_VDD,W2061,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR2,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR2,TBD-O,OUT,HR30_RIGHT_M2_VDD,W2062,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR3,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR3,TBD-O,OUT,HR30_RIGHT_M3_VDD,W2063,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR4,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR4,TBD-O,OUT,HR30_RIGHT_M4_VDD,W2064,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR5,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR5,TBD-O,OUT,HR30_RIGHT_M5_VDD,W2065,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR6,TBD-I,IN,HR30_ACTUATOR_SAFE,W2027,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR6,TBD-O,OUT,HR30_RIGHT_M6_VDD,W2066,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,2,VDD,HR30_RIGHT_M1_VDD,W2061,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,2,VDD,HR30_RIGHT_M2_VDD,W2062,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,2,VDD,HR30_RIGHT_M3_VDD,W2063,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,2,VDD,HR30_RIGHT_M4_VDD,W2064,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,2,VDD,HR30_RIGHT_M5_VDD,W2065,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,1,GND,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,2,VDD,HR30_RIGHT_M6_VDD,W2066,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,3,D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,4,D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,1,TTL_GND,HR30_UPPER_0V,W2073,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,2,TTL_VDD,NO CONNECT,N/A,OMITTED FROM RELEASED CUSTOM DATA CABLE - internal current path is unpublished
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,3,TTL_DATA,TTL_UPPER_A,W2137,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,USB,USB,USB_UPPER_A,W2139,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU31,TBD-I,IN,HR30_UPPER_12V,W2074,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU31,TBD-O,OUT,HR30_M31_VDD,W2047,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU32,TBD-I,IN,HR30_UPPER_12V,W2074,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU32,TBD-O,OUT,HR30_M32_VDD,W2048,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU33,TBD-I,IN,HR30_UPPER_12V,W2074,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU33,TBD-O,OUT,HR30_M33_VDD,W2049,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU34,TBD-I,IN,HR30_UPPER_12V,W2074,
