package_status,sheet,reference,device,selection_status,terminal,function,net,evidence
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,ROBOTIS U2D2 - upper bus A,PROPOSED - PRIMARY SOURCE RECORDED,2,TTL_VDD,NO CONNECT,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,ROBOTIS U2D2 - upper bus A,PROPOSED - PRIMARY SOURCE RECORDED,3,TTL_DATA,TTL_UPPER_A,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,ROBOTIS U2D2 - upper bus A,PROPOSED - PRIMARY SOURCE RECORDED,USB,USB,USB_UPPER_A,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M31,"ROBOTIS XM540-W270-T left shoulder pitch, provisional ID 31",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M31,"ROBOTIS XM540-W270-T left shoulder pitch, provisional ID 31",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M31_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M31,"ROBOTIS XM540-W270-T left shoulder pitch, provisional ID 31",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M32,"ROBOTIS XM540-W270-T left shoulder roll, provisional ID 32",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M32,"ROBOTIS XM540-W270-T left shoulder roll, provisional ID 32",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M32_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M32,"ROBOTIS XM540-W270-T left shoulder roll, provisional ID 32",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M33,"ROBOTIS XM540-W270-T left elbow, provisional ID 33",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M33,"ROBOTIS XM540-W270-T left elbow, provisional ID 33",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M33_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M33,"ROBOTIS XM540-W270-T left elbow, provisional ID 33",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M34,"ROBOTIS XM430-W350-T left wrist, provisional ID 34",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M34,"ROBOTIS XM430-W350-T left wrist, provisional ID 34",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M34_VDD,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M34,"ROBOTIS XM430-W350-T left wrist, provisional ID 34",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M35,"ROBOTIS XM430-W350-T left gripper, provisional ID 35",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M35,"ROBOTIS XM430-W350-T left gripper, provisional ID 35",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M35_VDD,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M35,"ROBOTIS XM430-W350-T left gripper, provisional ID 35",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M51,"ROBOTIS XM540-W270-T waist yaw, provisional ID 51",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M51,"ROBOTIS XM540-W270-T waist yaw, provisional ID 51",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M51_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M51,"ROBOTIS XM540-W270-T waist yaw, provisional ID 51",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M52,"ROBOTIS XC430-W240-T head pan, provisional ID 52",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M52,"ROBOTIS XC430-W240-T head pan, provisional ID 52",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M52_VDD,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M52,"ROBOTIS XC430-W240-T head pan, provisional ID 52",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M53,"ROBOTIS XC430-W240-T head tilt, provisional ID 53",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M53,"ROBOTIS XC430-W240-T head tilt, provisional ID 53",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M53_VDD,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M53,"ROBOTIS XC430-W240-T head tilt, provisional ID 53",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_A,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1,ROBOTIS U2D2 - upper bus B,PROPOSED - PRIMARY SOURCE RECORDED,1,TTL_GND,HR30_UPPER_0V,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1,ROBOTIS U2D2 - upper bus B,PROPOSED - PRIMARY SOURCE RECORDED,2,TTL_VDD,NO CONNECT,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1,ROBOTIS U2D2 - upper bus B,PROPOSED - PRIMARY SOURCE RECORDED,3,TTL_DATA,TTL_UPPER_B,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1,ROBOTIS U2D2 - upper bus B,PROPOSED - PRIMARY SOURCE RECORDED,USB,USB,USB_UPPER_B,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M41,"ROBOTIS XM540-W270-T right shoulder pitch, provisional ID 41",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M41,"ROBOTIS XM540-W270-T right shoulder pitch, provisional ID 41",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M41_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M41,"ROBOTIS XM540-W270-T right shoulder pitch, provisional ID 41",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_B,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M42,"ROBOTIS XM540-W270-T right shoulder roll, provisional ID 42",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M42,"ROBOTIS XM540-W270-T right shoulder roll, provisional ID 42",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M42_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M42,"ROBOTIS XM540-W270-T right shoulder roll, provisional ID 42",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_B,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M43,"ROBOTIS XM540-W270-T right elbow, provisional ID 43",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M43,"ROBOTIS XM540-W270-T right elbow, provisional ID 43",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M43_VDD,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M43,"ROBOTIS XM540-W270-T right elbow, provisional ID 43",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_B,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M44,"ROBOTIS XM430-W350-T right wrist, provisional ID 44",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M44,"ROBOTIS XM430-W350-T right wrist, provisional ID 44",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M44_VDD,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M44,"ROBOTIS XM430-W350-T right wrist, provisional ID 44",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_B,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M45,"ROBOTIS XM430-W350-T right gripper, provisional ID 45",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_UPPER_0V,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M45,"ROBOTIS XM430-W350-T right gripper, provisional ID 45",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_M45_VDD,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M45,"ROBOTIS XM430-W350-T right gripper, provisional ID 45",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,TTL_UPPER_B,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,TBD-P,POWER,HR30_ACTUATOR_SAFE,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,TBD-0,RETURN,HR30_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,TBD-D+,D+,RS485_LEFT_D+,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,TBD-D-,D-,RS485_LEFT_D-,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,TBD-SH,SHIELD,RS485_LEFT_SHIELD,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,TBD-P,POWER,HR30_ACTUATOR_SAFE,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,TBD-0,RETURN,HR30_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,TBD-D+,D+,RS485_RIGHT_D+,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,TBD-D-,D-,RS485_RIGHT_D-,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,TBD-SH,SHIELD,RS485_RIGHT_SHIELD,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUA1,Upper-body bus A harness,SELECTION REQUIRED,TBD-P,POWER_12V,HR30_UPPER_12V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUA1,Upper-body bus A harness,SELECTION REQUIRED,TBD-0,RETURN,HR30_UPPER_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUA1,Upper-body bus A harness,SELECTION REQUIRED,TBD-D,TTL_DATA,TTL_UPPER_A,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUB1,Upper-body bus B harness,SELECTION REQUIRED,TBD-P,POWER_12V,HR30_UPPER_12V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUB1,Upper-body bus B harness,SELECTION REQUIRED,TBD-0,RETURN,HR30_UPPER_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUB1,Upper-body bus B harness,SELECTION REQUIRED,TBD-D,TTL_DATA,TTL_UPPER_B,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-P,POWER,SENSOR_3V3,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-0,RETURN,SENSOR_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-SCLK,SPI_SCLK,SENSOR_SPI_SCLK,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-MOSI,SPI_MOSI,SENSOR_SPI_MOSI,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-MISO,SPI_MISO,SENSOR_SPI_MISO,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,TBD-SYNC,SYNC,SENSOR_SYNC,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-P,POWER,SENSOR_3V3,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-0,RETURN,SENSOR_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-SCLK,SPI_SCLK,SENSOR_SPI_SCLK,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-MOSI,SPI_MOSI,SENSOR_SPI_MOSI,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-MISO,SPI_MISO,SENSOR_SPI_MISO,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,TBD-SYNC,SYNC,SENSOR_SYNC,Manufacturer datasheet and engineering inputs required
