package_status,sheet,reference,value,selection_status,datasheet,evidence,description
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,"ROBOTIS XH540-W270-R right hip yaw, provisional ID 21",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,"ROBOTIS XH540-W270-R right hip roll, provisional ID 22",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,"ROBOTIS XH540-W270-R right hip pitch, provisional ID 23",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,"ROBOTIS XH540-W270-R right knee pitch, provisional ID 24",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,"ROBOTIS XH540-W270-R right ankle pitch, provisional ID 25",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,ROBOTIS U2D2 - upper bus A,PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS U2D2 current documentation accessed 2026-08-05.,ROBOTIS names pin 2 VDD but does not publish or permit a sense-only path. Pin 2 is omitted pending written manufacturer evidence or a released and tested custom harness.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU31,left shoulder pitch branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU32,left shoulder roll branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU33,left elbow branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU34,left wrist branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU35,left gripper branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU51,waist yaw branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU52,head pan branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU53,head tilt branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M31,"ROBOTIS XM540-W270-T left shoulder pitch, provisional ID 31",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M32,"ROBOTIS XM540-W270-T left shoulder roll, provisional ID 32",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M33,"ROBOTIS XM540-W270-T left elbow, provisional ID 33",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M34,"ROBOTIS XM430-W350-T left wrist, provisional ID 34",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M35,"ROBOTIS XM430-W350-T left gripper, provisional ID 35",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M51,"ROBOTIS XM540-W270-T waist yaw, provisional ID 51",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M52,"ROBOTIS XC430-W240-T head pan, provisional ID 52",PROPOSED - PRIMARY SOURCE RECORDED,https://emanual.robotis.com/docs/en/dxl/x/xc430-w240/,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,M53,"ROBOTIS XC430-W240-T head tilt, provisional ID 53",PROPOSED - PRIMARY SOURCE RECORDED,https://emanual.robotis.com/docs/en/dxl/x/xc430-w240/,ROBOTIS XC430-W240-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1,ROBOTIS U2D2 - upper bus B,PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS U2D2 current documentation accessed 2026-08-05.,ROBOTIS names pin 2 VDD but does not publish or permit a sense-only path. Pin 2 is omitted pending written manufacturer evidence or a released and tested custom harness.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU41,right shoulder pitch branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU42,right shoulder roll branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU43,right elbow branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU44,right wrist branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU45,right gripper branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M41,"ROBOTIS XM540-W270-T right shoulder pitch, provisional ID 41",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M42,"ROBOTIS XM540-W270-T right shoulder roll, provisional ID 42",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M43,"ROBOTIS XM540-W270-T right elbow, provisional ID 43",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS XM540-W270-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M44,"ROBOTIS XM430-W350-T right wrist, provisional ID 44",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,M45,"ROBOTIS XM430-W350-T right gripper, provisional ID 45",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS XM430-W350-T e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,Individual power branch; shared half-duplex TTL data chain.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL1,left foot 1 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL2,left foot 2 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL3,left foot 3 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL4,left foot 4 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR1,right foot 1 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR2,right foot 2 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR3,right foot 3 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR4,right foot 4 compression load cell 0-200 N,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,ADC1,TI ADS131M04 left foot ADC - proposed device,SELECTION REQUIRED,https://www.ti.com/lit/ds/symlink/ads131m04.pdf,"TI ADS131M04 datasheet Rev D, May 2021; functional net names only until package selection","Exact package, pin map, clock, reference, analog power, protection, anti-alias network, and PCB layout are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,ADC2,TI ADS131M04 right foot ADC - proposed device,SELECTION REQUIRED,https://www.ti.com/lit/ds/symlink/ads131m04.pdf,"TI ADS131M04 datasheet Rev D, May 2021; functional net names only until package selection","Exact package, pin map, clock, reference, analog power, protection, anti-alias network, and PCB layout are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,IMU1,Bosch BMI088 pelvis IMU - proposed device,SELECTION REQUIRED,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf,"Bosch BMI088 datasheet Rev 1.9, January 2024; functional interface only","Exact package pins, decoupling, separate accel/gyro interfaces, PCB layout, clocking, and mechanical alignment are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,IMU2,Bosch BMI088 torso IMU - proposed device,SELECTION REQUIRED,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf,"Bosch BMI088 datasheet Rev 1.9, January 2024; functional interface only","Exact package pins, decoupling, PCB layout, clocking, and mechanical alignment are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,13_sensor_afe,AFE1,"Load-cell excitation, reference, protection, and anti-alias front ends",SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Excitation voltage, reference, amplifiers if required, filters, protection, calibration injection, and complete PCB circuit are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBAC1,Guarded mains terminal block,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"No exposed mains terminal may be accessible without a tool. Terminal family, jumpers, covers, and ratings are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TB24,24 V safety-control terminal block,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,This block is downstream of PS2 only; it has no electrical connection to TBAC1 beyond the power-supply isolation boundary.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBV0,HR-V0 actuator terminal block,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Terminal selection and conductor allocation are unresolved. No terminal on TBV0 feeds HR-30.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBHR30,HR-30 actuator terminal block,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Terminal selection, branch allocation, current sharing, barriers, and conductor sizing are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Connector family, pin numbers, current per contact, keying, shielding, strain relief, and ingress rating are unresolved. Prohibit unreviewed full-conductor DYNAMIXEL links; release a VDD-isolating data harness and require continuity/no-backfeed tests."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Connector family, pin numbers, current per contact, keying, shielding, strain relief, and ingress rating are unresolved. Prohibit unreviewed full-conductor DYNAMIXEL links; release a VDD-isolating data harness and require continuity/no-backfeed tests."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUA1,Upper-body bus A harness,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Connector family, pin map, current capacity, contact count, keying, and strain relief are unresolved. Prohibit standard full-conductor TTL daisy cables; release a data-only harness and require continuity/no-backfeed tests."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUB1,Upper-body bus B harness,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Connector family, pin map, current capacity, contact count, keying, and strain relief are unresolved. Prohibit standard full-conductor TTL daisy cables; release a data-only harness and require continuity/no-backfeed tests."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Cable topology, connector, differential/analog routing, shielding, and pin map are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Cable topology, connector, differential/analog routing, shielding, and pin map are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,SHLD1,RS-485 shield-drain termination assembly,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Single-ended, capacitive, or direct chassis termination policy requires EMC testing; do not create an unintended DC 0 V/PE bond."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TP1,Commissioning test-point and lockout panel,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Finger-safe test points, covers, labels, voltage categories, and lockout procedures are unresolved."
