segment_id,segment_kind,assembly_id,service,from_point,to_point,planning_length_mm,minimum_bend_radius_mm,corridor_diameter_mm,separation_rule,selection_state,authority
LOOP-R_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,LOOP-R_HIP_PITCH-PWR-P01,LOOP-R_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_HIP_PITCH-DATA,SERIAL DATA JOINT LINK,HN-L02,DATA,LOOP-R_HIP_PITCH-DATA-P01,LOOP-R_HIP_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR-P01,CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR-P01,CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR-P01,CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,LOOP-R_KNEE_PITCH-PWR-P01,LOOP-R_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_KNEE_PITCH-DATA,SERIAL DATA JOINT LINK,HN-L02,DATA,LOOP-R_KNEE_PITCH-DATA-P01,LOOP-R_KNEE_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR-P01,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR-P01,CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR-P01,CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR-P01,CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ANKLE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-F02,ACTUATOR POWER,LOOP-R_ANKLE_PITCH-PWR-P01,LOOP-R_ANKLE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ANKLE_PITCH-DATA,SERIAL DATA JOINT LINK,HN-F02,DATA,LOOP-R_ANKLE_PITCH-DATA-P01,LOOP-R_ANKLE_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR-P01,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR-P01,CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR-P01,CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR-P01,CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-F02,ACTUATOR POWER,CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR-P01,CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ANKLE_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-F02,ACTUATOR POWER,LOOP-R_ANKLE_ROLL-PWR-P01,LOOP-R_ANKLE_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ANKLE_ROLL-DATA,SERIAL DATA JOINT LINK,HN-F02,DATA,LOOP-R_ANKLE_ROLL-DATA-P01,LOOP-R_ANKLE_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,LOOP-L_SHOULDER_PITCH-PWR-P01,LOOP-L_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_SHOULDER_PITCH-DATA,SERIAL DATA JOINT LINK,HN-A01,DATA,LOOP-L_SHOULDER_PITCH-DATA-P01,LOOP-L_SHOULDER_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR-P01,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,LOOP-L_SHOULDER_ROLL-PWR-P01,LOOP-L_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_SHOULDER_ROLL-DATA,SERIAL DATA JOINT LINK,HN-A01,DATA,LOOP-L_SHOULDER_ROLL-DATA-P01,LOOP-L_SHOULDER_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH-PWR-P01,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_ROLL-PWR-P01,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,LOOP-L_ELBOW_PITCH-PWR-P01,LOOP-L_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ELBOW_PITCH-DATA,SERIAL DATA JOINT LINK,HN-A01,DATA,LOOP-L_ELBOW_PITCH-DATA-P01,LOOP-L_ELBOW_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,LOOP-R_SHOULDER_PITCH-PWR-P01,LOOP-R_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_SHOULDER_PITCH-DATA,SERIAL DATA JOINT LINK,HN-A02,DATA,LOOP-R_SHOULDER_PITCH-DATA-P01,LOOP-R_SHOULDER_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_SHOULDER_ROLL-AT-R_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_SHOULDER_ROLL-AT-R_SHOULDER_PITCH-PWR-P01,CROSS-R_SHOULDER_ROLL-AT-R_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,LOOP-R_SHOULDER_ROLL-PWR-P01,LOOP-R_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_SHOULDER_ROLL-DATA,SERIAL DATA JOINT LINK,HN-A02,DATA,LOOP-R_SHOULDER_ROLL-DATA-P01,LOOP-R_SHOULDER_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_PITCH-PWR-P01,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_ROLL-PWR-P01,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,LOOP-R_ELBOW_PITCH-PWR-P01,LOOP-R_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_ELBOW_PITCH-DATA,SERIAL DATA JOINT LINK,HN-A02,DATA,LOOP-R_ELBOW_PITCH-DATA-P01,LOOP-R_ELBOW_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-WAIST_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-P01,ACTUATOR POWER,LOOP-WAIST_YAW-PWR-P01,LOOP-WAIST_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-WAIST_YAW-DATA,SERIAL DATA JOINT LINK,HN-P01,DATA,LOOP-WAIST_YAW-DATA-P01,LOOP-WAIST_YAW-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH-PWR-P01,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
