item_id,module,role,candidate,bbox_x_mm,bbox_y_mm,bbox_z_mm,center_x_mm,center_y_mm,center_z_mm,planning_mass_kg,operating_power_w,candidate_heat_w,mounting_plane,service_direction,connector_boundary,dynamic_link,evidence_state,warning
EQ-G02-INBOARD-PAD,G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,16.003,4.003,8.003,-120.000,-24.000,234.979,0.005000,0.000,0.000,finger contact land,-Y replacement,mechanical captive pocket/adhesive selection open,R_hand,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-G02-OUTBOARD-PAD,G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,16.003,4.003,8.003,-146.000,-24.000,234.979,0.005000,0.000,0.000,finger contact land,-Y replacement,mechanical captive pocket/adhesive selection open,R_hand,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_TORSO_POWER_SPINE,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,14.004,14.000,170.004,18.000,18.000,490.000,0.018800,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,170.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_TORSO_DATA_SPINE,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,10.003,10.000,170.003,-18.000,-18.000,490.000,0.016080,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,170.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_HEAD_BRANCH,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,27.901,15.989,126.504,-9.000,-15.000,637.500,0.015034,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,126.4 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_HEAD_POWER_BRANCH,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,25.921,13.991,126.203,9.000,15.000,637.500,0.017057,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,126.4 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_L_LEG_POWER,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,12.004,12.000,375.004,74.500,15.000,222.500,0.027000,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,base_link,375.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_L_LEG_DATA,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,9.003,9.000,375.003,50.500,-15.000,222.500,0.021000,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,base_link,375.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_L_ARM_POWER,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,65.802,10.000,277.019,105.000,15.000,437.490,0.023227,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,280.7 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_L_ARM_DATA,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,55.883,8.000,276.399,109.000,-15.000,437.490,0.018700,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,279.2 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_R_LEG_POWER,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,12.004,12.000,375.004,-74.500,15.000,222.500,0.027000,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,base_link,375.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_R_LEG_DATA,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,9.003,9.000,375.003,-50.500,-15.000,222.500,0.021000,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,base_link,375.0 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_R_ARM_POWER,HN01,installed harness bundle,segregated power cable bundle plus two connector allowances,65.802,10.000,277.019,-105.000,15.000,437.490,0.023227,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,280.7 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-HN01_R_ARM_DATA,HN01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,55.883,8.000,276.399,-109.000,-15.000,437.490,0.018700,0.000,0.000,controlled route corridor,module-end connector withdrawal,SELECTION REQUIRED,torso,279.2 mm route-derived planning length; conductor/connector selection remains open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-FST-CENTRAL,T01/P01/H01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,110.004,60.004,120.004,-0.000,0.000,478.000,0.120000,0.000,0.000,distributed mounting interfaces,tool-access directions per panel register,mechanical only,base_link,mass distribution envelope only; not literal merged fastener geometry,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-FST-LEFT-ARM,A01/G01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,48.004,40.004,180.004,128.000,-0.000,410.000,0.040000,0.000,0.000,distributed mounting interfaces,tool-access directions per panel register,mechanical only,L_upper_arm,mass distribution envelope only; not literal merged fastener geometry,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-FST-RIGHT-ARM,A02/G02,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,48.004,40.004,180.004,-128.000,-0.000,410.000,0.040000,0.000,0.000,distributed mounting interfaces,tool-access directions per panel register,mechanical only,R_upper_arm,mass distribution envelope only; not literal merged fastener geometry,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-FST-LEFT-LEG,L01/F01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,58.004,50.004,360.004,62.500,-0.000,220.000,0.070000,0.000,0.000,distributed mounting interfaces,tool-access directions per panel register,mechanical only,L_thigh,mass distribution envelope only; not literal merged fastener geometry,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-FST-RIGHT-LEG,L02/F02,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,58.004,50.004,360.004,-62.500,-0.000,220.000,0.070000,0.000,0.000,distributed mounting interfaces,tool-access directions per panel register,mechanical only,R_thigh,mass distribution envelope only; not literal merged fastener geometry,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
