reference,terminal,sheet,pin_name,net,native_net_p114,native_net_p115,parity,warning
PI1,USB-U2D2,09_compute_and_control_terminals.kicad_sch,USB TO U2D2,PI_USB_U2D2,PI_USB_U2D2,PI_USB_U2D2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C14-L,01_external_sources.kicad_sch,FACTORY AC L,FACTORY_AC_L_ACT,unconnected-(PSA1-FACTORY_AC_L-PadC14-L),unconnected-(PSA1-FACTORY_AC_L-PadC14-L),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C14-N,01_external_sources.kicad_sch,FACTORY AC N,FACTORY_AC_N_ACT,unconnected-(PSA1-FACTORY_AC_N-PadC14-N),unconnected-(PSA1-FACTORY_AC_N-PadC14-N),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C14-PE,01_external_sources.kicad_sch,FACTORY PE / INTERNAL -V BOND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-1,01_external_sources.kicad_sch,+VO 1,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-2,01_external_sources.kicad_sch,+VO 2,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-3,01_external_sources.kicad_sch,+VO 3,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-4,01_external_sources.kicad_sch,-VO 1,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-5,01_external_sources.kicad_sch,-VO 2,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSA1,C6P-6,01_external_sources.kicad_sch,-VO 3,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,Q-NA-L,01_external_sources.kicad_sch,FACTORY AC LINE BLADE,FACTORY_AC_L_CTL,unconnected-(PSU2-FACTORY_AC_LINE_BLADE-PadQ-NA-L),unconnected-(PSU2-FACTORY_AC_LINE_BLADE-PadQ-NA-L),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,Q-NA-N,01_external_sources.kicad_sch,FACTORY AC NEUTRAL BLADE,FACTORY_AC_N_CTL,unconnected-(PSU2-FACTORY_AC_NEUTRAL_BLADE-PadQ-NA-N),unconnected-(PSU2-FACTORY_AC_NEUTRAL_BLADE-PadQ-NA-N),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,YL4-1,01_external_sources.kicad_sch,+24V,SAFETY_24V_RAW,SAFETY_24V_RAW,SAFETY_24V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,YL4-2,01_external_sources.kicad_sch,N/C,INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_2,unconnected-(PSU2-N{slash}C-PadYL4-2),unconnected-(PSU2-N{slash}C-PadYL4-2),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,YL4-3,01_external_sources.kicad_sch,0V / SHIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU2,YL4-4,01_external_sources.kicad_sch,N/C,INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_4,unconnected-(PSU2-N{slash}C-PadYL4-4),unconnected-(PSU2-N{slash}C-PadYL4-4),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU3,AC-FACTORY,01_external_sources.kicad_sch,FACTORY AC,FACTORY_AC_COMPUTE,unconnected-(PSU3-FACTORY_AC-PadAC-FACTORY),unconnected-(PSU3-FACTORY_AC-PadAC-FACTORY),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU3,USB-C-GND,01_external_sources.kicad_sch,COMPUTE GND,COMPUTE_0V,COMPUTE_0V,COMPUTE_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU3,USB-C-VBUS,01_external_sources.kicad_sch,+5V COMPUTE,COMPUTE_5V,COMPUTE_5V,COMPUTE_5V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHB1,1,07_watchdog_control.kicad_sch,GPIO SIDE,PI_HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHB1,2,07_watchdog_control.kicad_sch,LED ANODE SIDE,HB_LED_A,HB_LED_A,HB_LED_A,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHP1,1,07_watchdog_control.kicad_sch,PULLUP SUPPLY,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RHP1,2,07_watchdog_control.kicad_sch,HEARTBEAT NODE,WD_HEARTBEAT,WD_HEARTBEAT,WD_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD1,1,08_watchdog_feedback_interface.kicad_sch,PICO INPUT,WD1_NC_DIAG,WD1_NC_DIAG,WD1_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD1,2,08_watchdog_feedback_interface.kicad_sch,LOGIC RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD2,1,08_watchdog_feedback_interface.kicad_sch,PICO INPUT,WD2_NC_DIAG,WD2_NC_DIAG,WD2_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RPD2,2,08_watchdog_feedback_interface.kicad_sch,LOGIC RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN1,1,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE1,FB_SENSE1,FB_SENSE1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN1,2,08_watchdog_feedback_interface.kicad_sch,IN,FB_IN1,FB_IN1,FB_IN1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN2,1,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE2,FB_SENSE2,FB_SENSE2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSN2,2,08_watchdog_feedback_interface.kicad_sch,IN,FB_IN2,FB_IN2,FB_IN2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO1,1,08_watchdog_feedback_interface.kicad_sch,RECEIVER OUT,UFB_OUT1,UFB_OUT1,UFB_OUT1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO1,2,08_watchdog_feedback_interface.kicad_sch,PICO INPUT,WD1_NC_DIAG,WD1_NC_DIAG,WD1_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO2,1,08_watchdog_feedback_interface.kicad_sch,RECEIVER OUT,UFB_OUT2,UFB_OUT2,UFB_OUT2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RSO2,2,08_watchdog_feedback_interface.kicad_sch,PICO INPUT,WD2_NC_DIAG,WD2_NC_DIAG,WD2_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH1,1,08_watchdog_feedback_interface.kicad_sch,FIELD INPUT,WD1_NC_24V,WD1_NC_24V,WD1_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH1,2,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE1,FB_SENSE1,FB_SENSE1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH2,1,08_watchdog_feedback_interface.kicad_sch,FIELD INPUT,WD2_NC_24V,WD2_NC_24V,WD2_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RTH2,2,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE2,FB_SENSE2,FB_SENSE2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW1,1,08_watchdog_feedback_interface.kicad_sch,FIELD INPUT,WD1_NC_24V,WD1_NC_24V,WD1_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW1,2,08_watchdog_feedback_interface.kicad_sch,FIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW2,1,08_watchdog_feedback_interface.kicad_sch,FIELD INPUT,WD2_NC_24V,WD2_NC_24V,WD2_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
RW2,2,08_watchdog_feedback_interface.kicad_sch,FIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,L-1,02_estop_eligibility.kicad_sch,CH2 LEFT NC MARK 1,SR1_S21,SR1_S21,SR1_S21,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,L-2,02_estop_eligibility.kicad_sch,CH2 LEFT NC MARK 2,SR1_S22,SR1_S22,SR1_S22,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,R-1,02_estop_eligibility.kicad_sch,CH1 RIGHT NC MARK 1,SR1_S11,SR1_S11,SR1_S11,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,R-2,02_estop_eligibility.kicad_sch,CH1 RIGHT NC MARK 2,SR1_S12,SR1_S12,SR1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S1,TBD-R1,02_estop_eligibility.kicad_sch,RESET IN,SR1_S12,SR1_S12,SR1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S1,TBD-R2,02_estop_eligibility.kicad_sch,RESET OUT,SR1_START_RETURN,SR1_START_RETURN,SR1_START_RETURN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S2,TBD-A1,03_arm_watchdog_eligibility.kicad_sch,ARM IN,SRA1_S12,SRA1_S12,SRA1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S2,TBD-A2,03_arm_watchdog_eligibility.kicad_sch,ARM OUT,ARM_AFTER_S2,ARM_AFTER_S2,ARM_AFTER_S2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SD1,TBD-IN,05_actuator_interruption.kicad_sch,IN,ACT_12V_FUSED,ACT_12V_FUSED,ACT_12V_FUSED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SD1,TBD-OUT,05_actuator_interruption.kicad_sch,OUT,K1_P1_IN,K1_P1_IN,K1_P1_IN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SP1,1,01_external_sources.kicad_sch,ACTUATOR 0V,INTENTIONALLY_NOT_CONNECTED_SP1_A,unconnected-(SP1-ACTUATOR_0V-Pad1),unconnected-(SP1-ACTUATOR_0V-Pad1),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SP1,2,01_external_sources.kicad_sch,PE,INTENTIONALLY_NOT_CONNECTED_SP1_B,unconnected-(SP1-PE-Pad2),unconnected-(SP1-PE-Pad2),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,13,02_estop_eligibility.kicad_sch,SAFETY OUT1 IN,SRA1_S11,SRA1_S11,SRA1_S11,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,14,02_estop_eligibility.kicad_sch,SAFETY OUT1 OUT,SRA1_S12,SRA1_S12,SRA1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,23,02_estop_eligibility.kicad_sch,SAFETY OUT2 IN,SRA1_S21,SRA1_S21,SRA1_S21,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,24,02_estop_eligibility.kicad_sch,SAFETY OUT2 OUT,SRA1_S22,SRA1_S22,SRA1_S22,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,33,02_estop_eligibility.kicad_sch,SAFETY OUT3 IN,INTENTIONALLY_UNUSED_SR1_33,unconnected-(SR1-SAFETY_OUT3_IN-Pad33),unconnected-(SR1-SAFETY_OUT3_IN-Pad33),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,34,02_estop_eligibility.kicad_sch,SAFETY OUT3 OUT,INTENTIONALLY_UNUSED_SR1_34,unconnected-(SR1-SAFETY_OUT3_OUT-Pad34),unconnected-(SR1-SAFETY_OUT3_OUT-Pad34),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,41,02_estop_eligibility.kicad_sch,AUX NC IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,42,02_estop_eligibility.kicad_sch,AUX NC OUT,SR1_DIAG_NC,unconnected-(SR1-AUX_NC_OUT-Pad42),unconnected-(SR1-AUX_NC_OUT-Pad42),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,A1,02_estop_eligibility.kicad_sch,24V SUPPLY,SR1_A1_WD_GATED,SR1_A1_WD_GATED,SR1_A1_WD_GATED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,A2,02_estop_eligibility.kicad_sch,0V SUPPLY,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,S11,02_estop_eligibility.kicad_sch,INPUT CH1 FEED,SR1_S11,SR1_S11,SR1_S11,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,S12,02_estop_eligibility.kicad_sch,INPUT CH1 RETURN / START FEED,SR1_S12,SR1_S12,SR1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,S21,02_estop_eligibility.kicad_sch,INPUT CH2 FEED,SR1_S21,SR1_S21,SR1_S21,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,S22,02_estop_eligibility.kicad_sch,INPUT CH2 RETURN,SR1_S22,SR1_S22,SR1_S22,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,S34,02_estop_eligibility.kicad_sch,START / EDM RETURN,SR1_START_RETURN,SR1_START_RETURN,SR1_START_RETURN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,Y32,02_estop_eligibility.kicad_sch,SEMICONDUCTOR STATUS,SR1_STATUS,SR1_STATUS,SR1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,13,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT1 IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,14,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT1 OUT,SRA1_K1_RAW,SRA1_K1_RAW,SRA1_K1_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,23,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT2 IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,24,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT2 OUT,SRA1_K2_RAW,SRA1_K2_RAW,SRA1_K2_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,33,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT3 IN,INTENTIONALLY_UNUSED_SRA1_33,unconnected-(SRA1-SAFETY_OUT3_IN-Pad33),unconnected-(SRA1-SAFETY_OUT3_IN-Pad33),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,34,03_arm_watchdog_eligibility.kicad_sch,SAFETY OUT3 OUT,INTENTIONALLY_UNUSED_SRA1_34,unconnected-(SRA1-SAFETY_OUT3_OUT-Pad34),unconnected-(SRA1-SAFETY_OUT3_OUT-Pad34),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,41,03_arm_watchdog_eligibility.kicad_sch,AUX NC IN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,42,03_arm_watchdog_eligibility.kicad_sch,AUX NC OUT,SRA1_DIAG_NC,unconnected-(SRA1-AUX_NC_OUT-Pad42),unconnected-(SRA1-AUX_NC_OUT-Pad42),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,A1,03_arm_watchdog_eligibility.kicad_sch,24V SUPPLY,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,A2,03_arm_watchdog_eligibility.kicad_sch,0V SUPPLY,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,S11,03_arm_watchdog_eligibility.kicad_sch,INPUT CH1 FEED,SRA1_S11,SRA1_S11,SRA1_S11,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,S12,03_arm_watchdog_eligibility.kicad_sch,INPUT CH1 RETURN / START FEED,SRA1_S12,SRA1_S12,SRA1_S12,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,S21,03_arm_watchdog_eligibility.kicad_sch,INPUT CH2 FEED,SRA1_S21,SRA1_S21,SRA1_S21,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,S22,03_arm_watchdog_eligibility.kicad_sch,INPUT CH2 RETURN,SRA1_S22,SRA1_S22,SRA1_S22,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,S34,03_arm_watchdog_eligibility.kicad_sch,START / EDM RETURN,SRA1_START_RETURN,SRA1_START_RETURN,SRA1_START_RETURN,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,Y32,03_arm_watchdog_eligibility.kicad_sch,SEMICONDUCTOR STATUS,SRA1_STATUS,SRA1_STATUS,SRA1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP1,1,12_watchdog_pcb_test_access.kicad_sch,SAFETY 24 V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
