cavity_id,connector_id,connector_role,axis_id,bus_id,pin,signal,physical_role,required_population,actual_population,continuity_target,no_backfeed_requirement,execution_state,authority,warning
IN-R_HIP_YAW-3,J-ACT-R_HIP_YAW,ACTUATOR INPUT,R_HIP_YAW,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_YAW-4,J-ACT-R_HIP_YAW,ACTUATOR INPUT,R_HIP_YAW,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_YAW-1,J-OUT-R_HIP_YAW,DATA-ONLY OUTGOING,R_HIP_YAW,RS-RLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_YAW-2,J-OUT-R_HIP_YAW,DATA-ONLY OUTGOING,R_HIP_YAW,RS-RLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_YAW-3,J-OUT-R_HIP_YAW,DATA-ONLY OUTGOING,R_HIP_YAW,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_YAW-4,J-OUT-R_HIP_YAW,DATA-ONLY OUTGOING,R_HIP_YAW,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_ROLL-1,J-ACT-R_HIP_ROLL,ACTUATOR INPUT,R_HIP_ROLL,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_ROLL-2,J-ACT-R_HIP_ROLL,ACTUATOR INPUT,R_HIP_ROLL,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_ROLL-3,J-ACT-R_HIP_ROLL,ACTUATOR INPUT,R_HIP_ROLL,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_ROLL-4,J-ACT-R_HIP_ROLL,ACTUATOR INPUT,R_HIP_ROLL,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_ROLL-1,J-OUT-R_HIP_ROLL,DATA-ONLY OUTGOING,R_HIP_ROLL,RS-RLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_ROLL-2,J-OUT-R_HIP_ROLL,DATA-ONLY OUTGOING,R_HIP_ROLL,RS-RLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_ROLL-3,J-OUT-R_HIP_ROLL,DATA-ONLY OUTGOING,R_HIP_ROLL,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_ROLL-4,J-OUT-R_HIP_ROLL,DATA-ONLY OUTGOING,R_HIP_ROLL,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_PITCH-1,J-ACT-R_HIP_PITCH,ACTUATOR INPUT,R_HIP_PITCH,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_PITCH-2,J-ACT-R_HIP_PITCH,ACTUATOR INPUT,R_HIP_PITCH,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_PITCH-3,J-ACT-R_HIP_PITCH,ACTUATOR INPUT,R_HIP_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_HIP_PITCH-4,J-ACT-R_HIP_PITCH,ACTUATOR INPUT,R_HIP_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_PITCH-1,J-OUT-R_HIP_PITCH,DATA-ONLY OUTGOING,R_HIP_PITCH,RS-RLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_PITCH-2,J-OUT-R_HIP_PITCH,DATA-ONLY OUTGOING,R_HIP_PITCH,RS-RLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_PITCH-3,J-OUT-R_HIP_PITCH,DATA-ONLY OUTGOING,R_HIP_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_HIP_PITCH-4,J-OUT-R_HIP_PITCH,DATA-ONLY OUTGOING,R_HIP_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_KNEE_PITCH-1,J-ACT-R_KNEE_PITCH,ACTUATOR INPUT,R_KNEE_PITCH,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_KNEE_PITCH-2,J-ACT-R_KNEE_PITCH,ACTUATOR INPUT,R_KNEE_PITCH,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_KNEE_PITCH-3,J-ACT-R_KNEE_PITCH,ACTUATOR INPUT,R_KNEE_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_KNEE_PITCH-4,J-ACT-R_KNEE_PITCH,ACTUATOR INPUT,R_KNEE_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_KNEE_PITCH-1,J-OUT-R_KNEE_PITCH,DATA-ONLY OUTGOING,R_KNEE_PITCH,RS-RLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_KNEE_PITCH-2,J-OUT-R_KNEE_PITCH,DATA-ONLY OUTGOING,R_KNEE_PITCH,RS-RLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_KNEE_PITCH-3,J-OUT-R_KNEE_PITCH,DATA-ONLY OUTGOING,R_KNEE_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_KNEE_PITCH-4,J-OUT-R_KNEE_PITCH,DATA-ONLY OUTGOING,R_KNEE_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_PITCH-1,J-ACT-R_ANKLE_PITCH,ACTUATOR INPUT,R_ANKLE_PITCH,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_PITCH-2,J-ACT-R_ANKLE_PITCH,ACTUATOR INPUT,R_ANKLE_PITCH,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_PITCH-3,J-ACT-R_ANKLE_PITCH,ACTUATOR INPUT,R_ANKLE_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_PITCH-4,J-ACT-R_ANKLE_PITCH,ACTUATOR INPUT,R_ANKLE_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_ANKLE_PITCH-1,J-OUT-R_ANKLE_PITCH,DATA-ONLY OUTGOING,R_ANKLE_PITCH,RS-RLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_ANKLE_PITCH-2,J-OUT-R_ANKLE_PITCH,DATA-ONLY OUTGOING,R_ANKLE_PITCH,RS-RLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_ANKLE_PITCH-3,J-OUT-R_ANKLE_PITCH,DATA-ONLY OUTGOING,R_ANKLE_PITCH,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-R_ANKLE_PITCH-4,J-OUT-R_ANKLE_PITCH,DATA-ONLY OUTGOING,R_ANKLE_PITCH,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_ROLL-1,J-ACT-R_ANKLE_ROLL,ACTUATOR INPUT,R_ANKLE_ROLL,RS-RLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_ROLL-2,J-ACT-R_ANKLE_ROLL,ACTUATOR INPUT,R_ANKLE_ROLL,RS-RLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_ROLL-3,J-ACT-R_ANKLE_ROLL,ACTUATOR INPUT,R_ANKLE_ROLL,RS-RLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-R_ANKLE_ROLL-4,J-ACT-R_ANKLE_ROLL,ACTUATOR INPUT,R_ANKLE_ROLL,RS-RLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-RLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_SHOULDER_PITCH-1,J-ACT-L_SHOULDER_PITCH,ACTUATOR INPUT,L_SHOULDER_PITCH,RS-LARM,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_SHOULDER_PITCH-2,J-ACT-L_SHOULDER_PITCH,ACTUATOR INPUT,L_SHOULDER_PITCH,RS-LARM,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_SHOULDER_PITCH-3,J-ACT-L_SHOULDER_PITCH,ACTUATOR INPUT,L_SHOULDER_PITCH,RS-LARM,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LARM,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_SHOULDER_PITCH-4,J-ACT-L_SHOULDER_PITCH,ACTUATOR INPUT,L_SHOULDER_PITCH,RS-LARM,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LARM,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
